pathway	CD4_Th17/Th2	CD4_TN	CD8_Act_Treg	CD8_Tex_TRM	Cyto_gdT/CD8_CTL	FOXP3-_Treg
Sperm Connecting Piece (5g)	1.4917424862845727	-1.0713151972916521	0.19979694128786707	0.611722600343744	-1.0924281604892114	-0.13951867013532088
Cardiac Myofibril (7g)	1.3349638781924236	-0.5103611086984728	1.0921559727642651	-0.7446410212370211	-0.074601097186011045	-1.0975166238351841
Protein Kinase 5 Complex (3g)	1.4364312942196233	-0.5042395828038403	0.8357983372196245	-0.10949066238517942	-0.2831039216613418	-1.3753954645888873
Peptidase Inhibitor Complex (5g)	1.356639385594159	-0.16583136618932384	0.9351392469771158	-0.38604718285957845	-0.32456689823218077	-1.4153331852901923
Protease Inhibitor Complex (5g)	1.356639385594159	-0.16583136618932384	0.9351392469771158	-0.38604718285957845	-0.32456689823218077	-1.4153331852901923
Mitotic Spindle Astral Microtubule End (3g)	1.562187761858583	0.71427788929178	0.1699653027332756	-0.717537103440264	-0.9389177972826196	-0.7899760531607558
Muscle Tendon Junction (3g)	1.4933730652290784	-0.9879698759487173	0.9317593775256758	-0.10305697508754329	-0.7789395010964567	-0.555166090622037
Nuclear Cap Binding Complex (3g)	1.3915306050776604	0.5556520054494012	0.42292110371989694	-0.4481663222228136	-0.44703463302558943	-1.4749027589985575
Bmp Receptor Complex (4g)	1.4007740450111896	-1.0238230754949806	0.6516397696708893	-0.2013167057962159	-1.182488242972739	0.35521420958185607
Sperm Fibrous Sheath (8g)	1.397334034605174	-1.4223227012493154	0.7409648869904043	0.152793598418183	-0.6276468854362242	-0.24112293332821977
Serine Protease Inhibitor Complex (3g)	1.4862844634858055	-0.029831768410268786	0.737308451439168	-0.18666543675672884	-0.689394844956599	-1.3177008648013746
Proton-Transporting V-Type Atpase, V1 Domain (9g)	1.7646119595361438	-0.29971073959022415	-0.8703989129838059	0.3098802579452842	0.0644053450006584	-0.9687879099080514
Vacuolar Proton-Transporting V-Type Atpase Complex (19g)	1.784861050104168	-1.015473954688576	0.40113642360335355	-0.7216683374329773	-0.24221203002134759	-0.2066431515646281
Set1c/Compass Complex (12g)	1.446102650643467	0.34359293154702647	0.3492819536968686	-0.030442320018152454	-0.5826501650393046	-1.5258850508298916
Er Membrane Protein Complex (10g)	1.6850504925770724	-0.5615956191246334	0.3265253684263575	-0.49179849016830324	0.241212703280842	-1.1993944549913271
Pyruvate Dehydrogenase Complex (8g)	1.4545103857184378	0.4938680002586522	-0.026948617162168155	-0.08043296604955179	-0.23542043783872627	-1.6055763649266461
Mis12/Mind Type Complex (5g)	1.825992513227863	-0.17027828366773157	-1.1101133356163815	0.08107078349721579	-0.6307266563597508	0.0040549789187916165
Ctf18 Rfc-Like Complex (8g)	1.4217077478121434	-1.1310702453474588	0.7494532945019756	0.3038969239716823	-0.40530855730762166	-0.9386791636307162
Alphav-Beta3 Integrin-Vitronectin Complex (3g)	1.33594347790976	0.6022454204184752	0.012055034509455788	0.3776181930817316	-1.177038602144403	-1.1508235237750237
Cul7-Ring Ubiquitin Ligase Complex (5g)	1.5354863716786609	0.07194185931092274	-0.41542765046241814	-0.0763887720498163	0.4004205148285869	-1.516032323305936
