pathway	CD4_Th17/Th2	CD4_TN	CD8_Act_Treg	CD8_Tex_TRM	Cyto_gdT/CD8_CTL	FOXP3-_Treg
Myosin Light Chain Binding (8g)	1.6532562736069376	-0.2100515384624784	-0.018559814951009126	0.5078212970786103	-0.7457991411737224	-1.1866670760983344
Serotonin-Gated Cation-Selective Channel Activity (5g)	1.6705236331451865	-0.6744206981908635	0.76133156378832	-0.3215390383078593	-0.575475762570709	-0.8604196978640742
Bisphosphoglycerate Mutase Activity (4g)	1.5403087195821579	-0.25673131711336394	0.26521318321399606	0.5369496150089472	-0.9251223504887053	-1.160617850203032
Phosphoglycerate Mutase Activity (4g)	1.5403087195821579	-0.25673131711336394	0.26521318321399606	0.5369496150089472	-0.9251223504887053	-1.160617850203032
Glucagon Receptor Activity (3g)	1.4207416875244392	-0.006609671776746914	0.9076261217688996	-0.5135394050176809	-1.2640496250883784	-0.544169107410533
Mitochondrion Targeting Sequence Binding (4g)	1.7505052493968951	-0.3168435072363872	0.4444481011053506	-0.1818265155866577	-0.5599941291214403	-1.1362891985577626
Arylamine N-Acetyltransferase Activity (3g)	1.793439892076524	-0.5564422145593094	0.4130962045727644	-1.0107827938695595	-0.5161952996164594	-0.12311578860395955
Amylase Activity (4g)	1.6173370221190093	-0.45120817081138487	-0.10101047190128534	0.6388261390304176	-0.4578804354141431	-1.2460640830226122
Trna Dihydrouridine Synthase Activity (5g)	1.7100762098403297	-0.8269312148315684	0.3616832194987282	-0.30985185052294983	-1.0707753446813917	0.13579898069685428
Serotonin:Sodium Symporter Activity (3g)	1.742771664882633	-0.8018340201451579	0.5964807818887837	-0.24784837813068808	-0.8333261756272203	-0.45624387286835216
Alpha-Amylase Activity (Releasing Maltohexaose) (3g)	1.449220708936936	-0.14612751282117412	0.010201503265902419	0.684387282515658	-0.5435666707589748	-1.454115311138348
Alpha-Amylase Activity (3g)	1.449220708936936	-0.14612751282117412	0.010201503265902419	0.684387282515658	-0.5435666707589748	-1.454115311138348
Long-Chain-Acyl-Coa Dehydrogenase Activity (4g)	1.4498577975297169	-0.1423004858725295	-0.39066943398514764	0.9058572689184192	-0.5626154904635167	-1.2601296561269415
Monocarboxylic Acid Transmembrane Transporter Activity (58g)	1.5536353117177073	-1.031015165147301	0.7760846113095976	-0.9208954875628725	-0.21628439160469862	-0.1615248787124167
Organic Hydroxy Compound Transmembrane Transporter Activity (50g)	1.6730802547206465	-0.8045135474893228	0.7180061054007951	-0.820128143238829	-0.19388301122665433	-0.5725616581666473
Ferrous Iron Transmembrane Transporter Activity (4g)	1.6675371155704792	0.11852698558080565	0.42778883289312175	-0.7144837458462707	-1.1899839422694178	-0.3093852459287153
Beta-Glucuronidase Activity (4g)	1.7690169781880594	-0.36529486484626966	-0.23626785299816747	0.3005745739545466	-1.2406783543725606	-0.2273504799256119
Epoxide Hydrolase Activity (6g)	1.410045692562339	-0.5019766334297339	0.3654193291507891	0.7297184509744649	-1.210590835688644	-0.7926160035692122
Thyroxine 5'-Deiodinase Activity (3g)	1.4161278766369856	0.4481109049116311	0.5991605964111493	-1.1223851246661074	-0.2991063648146748	-1.0419078884789839
Copper Ion Transmembrane Transporter Activity (5g)	1.832313924588647	0.13063147404507486	-1.1309032625629873	-0.5503615029285721	-0.09584511114722025	-0.1858355219949423
