pathway	CD4_Th17/Th2	CD4_TN	CD8_Act_Treg	CD8_Tex_TRM	Cyto_gdT/CD8_CTL	FOXP3-_Treg
organ or tissue specific immune response (34g)	1.2010632514673183	-0.41065454529660533	1.1129754713003497	0.15046135372800154	-1.1226206200867523	-0.9312249111123099
dendritic cell antigen processing and presentation (12g)	1.220342866341581	-0.6238807168613496	1.1298413790762056	0.0822579590192854	-1.2226994138057226	-0.5858620737699998
complement activation, alternative pathway (14g)	1.255602818911461	-1.3517943594042658	1.0162011010003087	-0.7011465668242821	-0.2641762547151716	0.045313261031954696
lymphocyte activation (758g)	-0.8847462214715722	0.8671476498915488	-1.60090623728089	0.6746156651993448	0.5020165090900012	0.4418726345715653
leukocyte activation (1304g)	-0.96922752090711906	0.8403791439639695	-1.529649907750263	0.4611894710287035	0.8048850313754877	0.39242378228922614
T cell receptor signaling pathway (202g)	-0.7426685297866951	0.848161578856427	-1.6617585556744883	0.7566424045255977	0.5939991055368403	0.20562399654232016
antigen receptor-mediated signaling pathway (336g)	-0.8889112448227822	0.8048344211259839	-1.6059998001973816	0.6070171411074643	0.6595641938616804	0.4234952889250331
negative T cell selection (12g)	-0.8278132359240404	0.9565030608419025	-1.576923153630147	0.608881830830478	0.7280164340284395	0.11133506385336951
natural killer cell cytokine production (9g)	-0.8217000894227313	1.2934508798211943	-1.4585868367564419	0.3563828862705404	0.6303248734496424	1.2828663779940923e-4
monocyte extravasation (8g)	-1.0486374186288505	1.2489489326408778	-1.125967840980716	-0.2548662433939684	0.9845384576084658	0.19598411275419186
lymphocyte activation involved in immune response (181g)	-1.010070870082392	0.8314793724211423	-1.5183097434918043	0.6762172214121864	0.5601754768148244	0.4605085429260367
production of molecular mediator of immune response (309g)	-0.6751421732065217	1.1769660726415088	-1.495369824940142	0.8641233179584298	0.3542961636639476	-0.22487355611723378
cytoplasmic pattern recognition receptor signaling pathway (64g)	-1.0270149520000285	1.0652876565256753	-1.4293961597250904	0.41236521855606995	0.7324842390124734	0.2462739976308928
complement activation (195g)	0.4798528306371946	-0.16184140089225144	1.7734272338239676	-0.42359069362769125	-0.7151448473418499	-0.9527031225993696
complement activation, classical pathway (161g)	0.4579045308044652	-0.1735604069407846	1.7655622698935785	-0.29199635343439784	-0.7995687128201237	-0.9583413275027385
antimicrobial humoral immune response mediated by antimicrobial peptide (68g)	0.6109946496928045	-0.3570364480219526	1.48328649941371	-0.5857243599804915	0.22829178660772584	-1.3798121277117954
humoral immune response mediated by circulating immunoglobulin (174g)	0.08939344458615367	0.23314231244761519	1.6532974276241328	-0.2892102569038198	-0.2524349678511039	-1.4341879599029779
humoral immune response (370g)	0.2742556632349847	0.24136168295529511	1.6357866214430095	-0.5233432252449405	-0.2701776905766357	-1.357883051811713
antimicrobial humoral response (116g)	0.3405679183059446	0.05593984088405588	1.2596886573751203	-0.9213657198595431	0.6754570905294508	-1.4102877872350326
innate immune response in mucosa (19g)	0.8975873292423766	-0.48624780743676727	1.517501078315539	-0.27289695971317796	-0.5042874733989876	-1.151656167008982
mucosal immune response (31g)	1.0882417463850271	-0.21896619184855198	1.3230068894645473	-0.7189063135223485	-0.2810612551594749	-1.1923148753192
neutrophil mediated killing of symbiont cell (8g)	0.4807935991355938	-0.3112587048265704	1.8188673355472458	-0.776141065086247	-0.4910357722040255	-0.7212253925659953
neutrophil mediated killing of bacterium (7g)	0.6617741088960855	-0.5597176342296142	1.7563935930864853	-0.7024574177987842	-0.6115136167633535	-0.5444790331908195
somatic diversification of T cell receptor genes (5g)	0.5264586646285554	-0.2705421849806877	-0.6665354767005466	1.5628796862618324	-1.3173905543840807	0.16512986517492714
somatic recombination of T cell receptor gene segments (5g)	0.5264586646285554	-0.2705421849806877	-0.6665354767005466	1.5628796862618324	-1.3173905543840807	0.16512986517492714
T cell receptor V(D)J recombination (5g)	0.5264586646285554	-0.2705421849806877	-0.6665354767005466	1.5628796862618324	-1.3173905543840807	0.16512986517492714
V(D)J recombination (15g)	0.37249894516368814	-0.14481822862942353	-0.825563385511711	1.5804230719120869	-1.258827171691517	0.27628676875687697
T cell differentiation (242g)	-0.47054403462259276	0.6378707798532637	-1.6090443983257454	1.286451269386936	-0.1628606858693189	0.3181270695774518
T cell differentiation in thymus (72g)	-0.3644465974273896	0.5972191910626324	-1.5623715845693118	1.39732920782759	-0.27332318514513354	0.20559296825161513
somatic diversification of immune receptors (77g)	-0.02839374437686753	0.15081617780788423	-1.1183171034211423	1.5946118990550364	-1.0078065177652673	0.4090892887003582
somatic diversification of immune receptors via germline recombination within a single locus (65g)	-0.04485836482372364	0.15407272357864715	-1.0974035776214934	1.5879259820268699	-1.0308279200769623	0.4310911569166673
lymphocyte differentiation (352g)	-0.6066060214909346	0.6743007085178013	-1.658041372514343	1.0830384615950943	0.002065787589319818	0.5052424363030602
alpha-beta T cell differentiation (102g)	-0.49684704214968783	0.499896756418539	-1.6592340299811115	1.2522044618285342	-0.022256375131021394	0.4262362290147442
