pathway	CD4_Th17/Th2	CD4_TN	CD8_Act_Treg	CD8_Tex_TRM	Cyto_gdT/CD8_CTL	FOXP3-_Treg
mitochondrial translational elongation (88g)	1.0157272267392707	0.11560028093847123	0.7045160286802368	0.3425764168158434	-0.3933376486097131	-1.7850823045641129
vitamin catabolic process (12g)	1.4920989335888921	-0.6543491067628505	0.9954406117274986	-0.27614311625128923	-0.5967094637023888	-0.9603378585998623
mitochondrial translation (136g)	0.8642131613868411	0.11604547073948118	0.5301286774380346	0.5648483058124706	-0.17556281886200908	-1.899672796514816
glucosamine-containing compound catabolic process (10g)	1.270493333947709	-0.47213337882798456	0.8871686982377947	0.40691607331126695	-0.9434475997567034	-1.1489971269120811
vitamin D catabolic process (3g)	1.8111466046597824	-0.7342150931307363	0.4927793003542553	-0.24527927130180005	-0.6445612975309543	-0.6798702430505459
indolalkylamine metabolic process (17g)	1.4089853994997654	-1.148526131438909	0.6168225041102731	-0.3095641773920014	-1.0112501137339056	0.44353251895477747
creatine metabolic process (7g)	1.175458304149934	-0.6927667055536264	1.159208394167353	0.1423264994348593	-0.5899385899809927	-1.1942879022175263
amino sugar catabolic process (14g)	1.1450280045058698	-0.78497653319036	0.6904691279997361	0.8573228586277006	-1.0971685100585356	-0.8106749478844126
aspartate metabolic process (8g)	1.1867961713761863	-1.1417705758556707	1.082725350732069	-0.8858634389123614	0.26736784742743924	-0.5092553547676617
rRNA pseudouridine synthesis (7g)	1.0118126578708884	-0.15276453501967222	0.7201219831077276	-0.05615891700796557	0.3041836442012987	-1.8271948331522763
protein auto-ADP-ribosylation (11g)	-0.8859687623009265	1.2020282493143333	-1.3463456229752493	0.015944726383723712	0.9777248577198127	0.03661655185830807
protein modification by small protein conjugation or removal (1118g)	-0.9417952023298954	0.6793415417848928	-1.5845708894212929	0.6273279340208474	0.5693408481962623	0.6503557677491792
proteolysis involved in cellular protein catabolic process (731g)	-1.0200898557264313	0.6896119112450247	-1.5259880291970156	0.5712200775453937	0.6812994855669853	0.6039464105660505
production of miRNAs involved in gene silencing by miRNA (46g)	-1.103249181477642	0.9884420040500568	-1.395326085518799	0.28610074542354036	0.493890637576522	0.7301418799463268
dsRNA processing (50g)	-1.1033489859845644	0.9951622037063247	-1.39792435729516	0.3162880843894496	0.4720231817821723	0.717799873401776
production of small RNA involved in gene silencing by RNA (50g)	-1.1033489859845644	0.9951622037063247	-1.39792435729516	0.3162880843894496	0.4720231817821723	0.717799873401776
catabolic process (2657g)	-1.1037908215020604	0.7930056272405199	-1.448166674389344	0.5304806137531636	0.7132828058484733	0.5151884490492585
cellular catabolic process (2357g)	-1.09483438460124	0.8063576653919348	-1.4487584441056167	0.5390786628354648	0.747113131004554	0.45104336947489165
protein ubiquitination (833g)	-0.9543179890894321	0.6729795524338009	-1.5758870643509773	0.6094853440278647	0.5847834831904253	0.6629566737883186
cellular macromolecule catabolic process (1189g)	-1.1552226289469307	0.8792430311592142	-1.3026836327605462	0.6768755278047873	0.8574874519817315	0.044300250761747775
