pathway	CD4_Th17/Th2	CD4_TN	CD8_Act_Treg	CD8_Tex_TRM	Cyto_gdT/CD8_CTL	FOXP3-_Treg
canonical Wnt signaling pathway involved in osteoblast differentiation (3g)	1.5400267068945608	-0.5865246935499872	0.9013212758404031	-0.5213049124766219	-1.0611143844295658	-0.27240399227878703
interleukin-17-mediated signaling pathway (9g)	0.9742625910519835	-0.0638032684464016	0.6057092028913403	0.8852671512801579	-1.1209891604853275	-1.2804465162917515
positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway (5g)	0.9821250327870534	-0.3359635030146596	0.7372248191072882	-0.9762674158963975	-1.2859382196482303	0.8788192866649457
adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway (8g)	1.0948921126930407	-0.5891579751601783	-0.2715613771504506	0.7905526731754979	-1.5683821115233736	0.5436566779654586
T cell receptor signaling pathway (202g)	-0.7426685297866951	0.848161578856427	-1.6617585556744883	0.7566424045255977	0.5939991055368403	0.20562399654232016
antigen receptor-mediated signaling pathway (336g)	-0.8889112448227822	0.8048344211259839	-1.6059998001973816	0.6070171411074643	0.6595641938616804	0.4234952889250331
cytokine-mediated signaling pathway (771g)	-1.0294989929748057	1.0325574490497993	-1.4015874069235552	0.42738719892804977	0.8428464766243334	0.1282952752961674
interleukin-12-mediated signaling pathway (46g)	-0.9931724714534477	1.2392608347706373	-1.3242311078306994	0.2244425678950148	0.8202179418138135	0.033482234804683084
interleukin-21-mediated signaling pathway (8g)	-0.8245480538107604	1.1470270202258366	-1.4760957585321772	0.4173280568607475	0.8042450300882183	-0.0679562948318634
interleukin-23-mediated signaling pathway (9g)	-0.9879658733187826	1.1799534520664088	-1.318647785440571	0.028850588316729625	0.929283545792042	0.16852607258417499
endoplasmic reticulum unfolded protein response (124g)	-0.7273736022613925	1.402706486469797	-1.019291242955276	0.40866681035935953	0.7724082745126983	-0.8371167261251894
platelet-derived growth factor receptor-alpha signaling pathway (6g)	-0.9966256351393666	1.0232817486697705	-1.4164836397277423	0.16234057991656295	0.9082679535096263	0.3192189927711512
NIK/NF-kappaB signaling (168g)	-1.151735970649938	1.3158612362127295	-1.1391377317912783	0.4543130539481695	0.6492034054866659	-0.12850399320634884
intrinsic apoptotic signaling pathway (285g)	-1.1433189545779516	0.9422223509458841	-1.360661658816465	0.3897341142194548	0.8257261516164092	0.3462979966126686
neuropeptide signaling pathway (105g)	1.0905252323899197	-0.7851332322518447	1.459033150491287	-0.45952281870799855	-0.6137437890029003	-0.691158542918462
serotonin receptor signaling pathway (39g)	1.0782783845089985	-0.8808912490442102	1.344054696465663	-0.2830166795637956	-1.0667899595115535	-0.1916351928551016
G protein-coupled serotonin receptor signaling pathway (34g)	0.9307718677739452	-0.8921192893593465	1.4122709637448743	-0.2666136518805195	-1.1264300761353712	-0.05787981414357961
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (86g)	0.2021680391109256	-0.6818503767381137	1.3724048949880396	-1.2623709529725735	-0.503947375656253	0.8735957712679798
