pathway	CD4_Th17/Th2	CD4_TN	CD8_Act_Treg	CD8_Tex_TRM	Cyto_gdT/CD8_CTL	FOXP3-_Treg
N6-Methyladenosine-Containing Rna Binding (8g)	-0.493523474837865	0.9815810747244346	-1.7621971714014948	0.6288237191051819	0.5275466255472521	0.11776922686249132
Adenosine Receptor Signaling Pathway (13g)	-0.00806296756083154	-0.8507804141824136	1.6767137596714248	-0.9822273676446162	0.5753627564389358	-0.41100576672249695
G Protein-Coupled Adenosine Receptor Activity (7g)	0.7537252750977435	-0.6356819773301713	1.5481832805971043	-0.3760111007516566	-0.07186135816749827	-1.2183541194455219
Regulation Of Adenosine Receptor Signaling Pathway (4g)	0.24228141270685521	-0.6234319808744815	1.7515207779266888	-1.1928392937613927	0.06319350514930248	-0.24072442114697082
Positive Regulation Of Adenosine Receptor Signaling Pathway (3g)	0.8751599335141589	-0.8496607094579143	1.4332615885679605	-1.1916563644250708	-0.10026781099106122	-0.16683663720807082
Rna Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (352g)	-0.6374987106786183	0.7321665381600478	-1.6234064212119828	1.1619791006389035	0.1352785374055173	0.23148095568612412
Rna N6-Methyladenosine Methyltransferase Complex (8g)	-0.008077823935539451	0.4119177077295896	-1.1170192408282025	1.3965147468478663	0.4946335369436568	-1.1779689267573659
Mrna (2'-O-Methyladenosine-N6-)-Methyltransferase Activity (3g)	0.45215729229078067	0.3464544733123419	-0.16494836144127428	0.9432985951812091	0.33292399087628993	-1.9098859902193472
L-Methionine Salvage From Methylthioadenosine (6g)	0.5835422172514539	0.2252202273671289	-1.3602222124497498	1.5140772491967482	-0.443867197059624	-0.5187502843059512
Diadenosine Polyphosphate Metabolic Process (7g)	-0.9610458115745151	0.6092195870221203	-0.9648242488711961	-0.5420422197116321	1.5430146527097668	0.3156780404254571
Adenosine Metabolic Process (10g)	-0.6829799525581166	0.6237035003552496	-0.9004507837487625	-0.7502379516946273	1.6639551701353794	0.046010017510876494
3'-Phosphoadenosine 5'-Phosphosulfate Binding (6g)	-0.5569573894730768	-0.019502406040066547	-0.35005939280592646	-1.2646450165938579	1.6280054488345128	0.5631587560784145
Adenosine 3',5'-Bisphosphate Transmembrane Transporter Activity (4g)	-1.0946686763770888	-0.3394945955366532	-0.23154261219959582	-0.7356539723775649	1.5234651354948963	0.8778947209960037
Adenosine-Diphosphatase Activity (3g)	-0.9158867480315697	-0.07469004297562933	-0.22053270488571125	-0.9945987928729216	1.6881476186275992	0.5175606701382356
Adenosine Deaminase Activity (11g)	-1.2702959632775501	0.794685301712914	-1.0557609372809553	0.2712543630707296	1.2516153839195079	0.008501851855359056
Double-Stranded Rna Adenosine Deaminase Activity (5g)	-1.3738940871634868	0.8064432102205468	-0.9557087458034046	-0.004960231952819584	1.2005719146290548	0.32754794007010923
Adenosine To Inosine Editing (9g)	-1.2685173496090059	0.6678572430091978	-0.60460266903539	0.3359957488628132	1.456538676335683	-0.5872716495632948
Trna-Specific Adenosine Deaminase Activity (8g)	-1.4110967009408453	1.0096657154825397	-0.862399663550985	0.07167294021388933	1.1108074489993063	0.08135025979609249
Adenosine Receptor Binding (5g)	-0.9453340296950198	-0.11038527223466495	-1.3641213615407475	0.8039735118617436	0.43280370405112184	1.183063447557567
