gene,CD4 proliferation,CD4 Tcm,CD4 Tem,CD4 Temra,CD4 Tfh,CD4 Th17,CD4 Tn,CD4 Trm,CD4 Trm cell-death,CD4 Trm naive-like,CD4 Tstr,CD8 quiescence,CD8 senescence,CD8 Tem,CD8 Temra,CD8 Tn,CD8 Trm,CD8 Trm anergy,Heterogeneous,None T
ICOS,0.2241,1.4769,0.6791,-0.6284,-0.3578,0.1276,-0.0992,1.2488,-1.6548,0.3591,-1.6548,-1.6548,0.5024,1.3689,-1.6548,0.217,-0.0952,0.7641,0.4604,0.3713
IL7R,0.7984,1.379,0.1293,-1.3319,-1.2993,0.4341,0.9743,1.3009,0.6664,-0.6177,-1.4364,0.6587,0.5319,-1.1989,-1.328,1.2512,0.6432,-0.978,-0.6376,0.0605
ZNF683,-0.673,-0.673,0.3923,3.1107,-0.2169,-0.673,-0.6242,-0.2745,-0.673,-0.673,2.0738,-0.673,0.2417,0.5187,-0.673,-0.673,0.297,0.1529,0.2118,-0.4994
MKI67,0.1277,0.0418,0.0695,-0.7545,2.3249,-0.7545,-0.1583,-0.7545,-0.7545,-0.7545,-0.7545,2.0312,-0.7545,1.4357,-0.7545,1.2568,0.2356,-0.7545,-0.7545,0.1799
CD69,0.2009,0.2412,-0.466,-0.5208,-0.4875,1.163,-0.2341,2.7046,0.38,-1.0687,-0.2246,-1.4504,0.3171,0.7188,-1.2334,-0.3843,0.9696,1.1209,-0.9237,-0.8225
RORC,1.3025,0.5237,-0.1917,-0.6751,-0.9032,1.3778,0.6466,2.2334,0.6819,-1.2063,-1.2063,0.7406,-0.0987,-1.2063,-1.2063,-0.6964,0.3794,-0.3124,0.5522,-0.7353
BCL2,0.5489,0.9044,0.1215,0.0613,-0.9552,0.9808,-0.2885,1.7769,-1.7812,-1.8162,-0.3487,-0.2687,-0.5701,-0.6507,1.661,0.1272,-0.274,0.8108,0.9356,-0.9751
CD4,1.5907,1.373,0.6901,-0.3049,-0.4874,1.4506,0.9853,1.6135,-0.1537,0.115,-0.6185,-0.857,-0.815,-0.715,-1.1145,-1.0376,-0.7485,-0.8309,0.9791,-1.1145
KLRG1,0.85,-0.3887,0.0531,1.2528,0.621,0.0951,-0.603,1.5018,-1.2841,-2.0489,1.3561,-1.2624,-0.3533,0.1942,0.4475,-1.3269,0.3651,0.8083,0.6712,-0.9489
S100A4,-0.0464,-0.1174,-0.365,-0.171,-0.4057,-0.3452,-0.1774,-0.0778,4.1857,-0.4215,-0.3804,-0.3788,-0.2276,-0.2206,0.2275,-0.2819,0.0709,-0.2095,-0.2348,-0.4231
BTG1,-0.07,-0.015,-0.1039,-0.2851,-0.4284,-0.6139,0.0771,-0.0316,4.0241,0.1528,-0.8927,-0.461,-0.0686,-0.0557,-0.3042,0.2924,0.2315,-0.2558,-0.8128,-0.3788
KLF2,-0.8667,0.4477,-0.2317,0.0476,-0.3485,-0.3208,-0.1443,-0.4107,3.5914,-0.6677,-0.6078,0.8051,-0.4959,-0.5745,0.9356,0.8256,-0.3091,-0.6665,-0.6371,-0.372
CTLA4,-0.9503,0.3766,0.1207,-0.9503,-0.1967,0.6233,0.4792,0.3788,3.5592,-0.165,-0.9503,0.4104,-0.0261,-0.9503,-0.9503,-0.173,-0.548,0.3166,-0.4778,0.0733
CD3E,-0.2779,0.2271,-0.2858,0.2406,-0.7626,-0.224,0.1245,0.5745,3.4579,-0.6937,-0.3512,-0.0256,0.1739,0.3343,0.2117,0.078,0.2708,-0.0207,-1.1591,-1.8926
CXCR5,-0.1704,0.3103,-0.1799,0.8363,-0.5585,-0.5396,-0.1242,-0.5509,3.1501,-1.0853,-1.0853,-0.1352,-0.5611,-1.0853,0.923,-0.796,0.1759,0.3157,1.3356,-0.1753
PCNA,1.0872,-0.0363,-0.6041,1.0704,-0.6544,0.3924,-0.566,0.2348,3.108,-0.9641,-0.9641,-0.9641,-0.1202,-0.5923,-0.9641,-0.0132,0.2357,0.9547,0.145,-0.7855
PDCD1,-0.3544,-0.2552,-0.2192,0.0899,-0.7425,-0.45,-0.3378,-0.4951,2.9612,-0.7425,-0.7425,-0.7425,0.2606,1.3869,-0.7425,-0.5967,-0.0029,2.0313,0.1169,-0.4227
DUSP1,-0.0315,-0.3783,-0.4311,-0.6453,-0.2006,0.1445,-0.0913,-0.4362,2.8401,-0.7789,-0.5468,2.5947,0.0016,0.108,-1.2166,-0.4513,-0.2592,-0.0661,0.4274,-0.5831
ANXA1,-0.405,-0.4671,-0.2592,0.0506,0.1993,0.6657,-0.3567,1.1669,2.8001,-1.4241,-0.7004,-0.3008,0.2729,0.5232,-1.5004,-1.2775,0.2559,1.1717,0.2234,-0.6383
CCR6,0.7325,0.5692,-0.2781,-1.1828,-1.0912,0.5315,0.1844,1.2221,2.7878,-0.5746,-1.5028,0.2606,-0.3417,-0.3994,1.2238,-0.6977,-0.4728,-0.3914,0.1735,-0.7529
CCR7,-0.2446,1.2712,-0.0137,-1.0083,-0.8175,-0.6689,0.2652,-0.6562,2.5986,-0.0707,-0.3241,0.565,0.1791,-0.85,-0.7854,2.1725,-0.4257,-0.9458,-0.5159,0.2754
MZB1,-0.5551,-0.0034,-0.5718,-0.4601,-0.6546,0.1905,-0.3737,-0.0076,-1.028,0.4168,3.688,0.6489,-0.3606,0.6957,-1.028,-0.5848,-0.077,0.3851,0.037,-0.3572
CDKN1A,-0.6302,-0.2212,0.1799,0.1047,-0.6041,-0.3616,0.0227,0.6611,-0.8864,-0.8864,0.8138,3.6872,0.0417,-0.5189,0.7073,-0.4932,-0.185,-0.532,-0.3714,-0.528
MS4A1,0.2148,-0.1418,-0.0717,0.4787,-0.6552,0.3654,-0.5004,-0.9904,-0.1557,-1.7337,-1.2043,2.5411,-0.4516,0.8731,-0.2355,-0.069,-0.3272,1.5944,1.2791,-0.81
FOXO1,0.6006,0.9166,0.1185,-0.9585,-0.2529,0.3833,0.2721,1.3605,-1.3009,0.2275,-1.5406,2.341,-0.1624,0.106,-1.9958,0.0502,0.394,0.4898,-0.2381,-0.811
GZMK,-0.6337,-0.6726,0.0947,-0.0359,-0.4076,-0.5889,-0.6359,0.4122,-0.3681,-0.7023,-0.4045,0.4884,0.3244,3.2946,-1.0064,-0.6565,1.2267,1.2563,-0.34,-0.645
CXCR6,-0.834,-0.5946,-0.1909,0.4667,-0.2438,-0.1796,-0.3929,1.7291,0.3884,-0.834,-0.834,-0.834,0.2535,2.9912,-0.834,-0.7474,0.3007,1.2243,-0.3175,-0.5173
GZMA,-0.4534,-0.7399,-0.3624,1.5732,-0.3113,-0.7678,-0.6382,0.2998,-0.1402,-0.7869,-1.0782,-0.6795,-0.198,2.2642,1.8644,-0.8724,0.878,1.16,-0.2201,-0.7912
EOMES,-0.3968,-1.0601,-0.2515,0.8635,1.3941,-0.6622,-1.0017,-0.2838,-1.3533,-1.1127,0.8425,-0.0097,-0.268,2.0503,-0.1399,-1.1561,1.0248,1.125,1.103,-0.7074
TOX,-0.5819,-0.9476,-0.0832,1.2059,0.8931,-0.3673,-0.9764,-0.4025,-1.2113,-0.9503,0.2818,-0.1775,-0.445,2.0272,1.0774,-1.2044,-0.2966,2.0088,0.6746,-0.525
CD44,0.0977,0.4398,0.0549,0.2349,-1.4585,0.1448,-0.2475,1.5935,-1.6394,-1.6398,-1.4348,-0.0439,0.1112,1.8304,0.5091,0.1001,0.8061,1.3222,-0.0599,-0.7209
PTPRC,-0.4829,0.3219,-0.163,1.1836,0.353,-0.385,-0.2668,0.7016,-1.7018,-1.5014,-1.8699,0.2565,-0.2875,1.7115,1.4257,-0.0531,0.8403,1.1032,-0.5135,-0.6725
CD8A,-0.6845,-0.6961,-0.6956,-0.711,-0.726,-0.6931,-0.7236,-0.6657,-0.7401,-0.7099,-0.7401,1.5685,1.141,1.6186,0.9203,1.5458,1.4046,0.967,-0.6401,-0.7401
