gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
PCDH7	7.659476418733481e-9	3.3299952699704383	1	0.462	2.541184491443207e-4
RIMBP2	1.483852856568603e-9	3.3221234080593054	1	0.41	4.922978622237654e-5
AL357507.1	3.538341443059394e-7	3.1546666389010096	0.875	0.436	0.011739155405638151
HMCN2	1.84982499441049e-7	3.1480935840378215	0.875	0.513	0.006137164383955682
CCL26	1.436628401589139e-6	3.1275073612499478	0.875	0.256	0.047663020479522866
PTGFR	4.0745730278771956e-8	3.1186199276814355	0.875	0.231	0.001351821093458817
EPHA6	5.46114443697258e-12	3.1160900238987574	1	0.59	1.811843889854393e-7
CSMD3	7.685845554769093e-9	3.006233277708419	0.875	0.538	2.549932979705742e-4
ABCA13	5.56331584115922e-7	2.9957928076869598	0.75	0.385	0.018457412966213945
AC096570.1	1.2766676787289583e-6	2.985714642349063	0.875	0.462	0.04235600357719065
KCNT2	1.1247774245658398e-7	2.9756906894868504	1	0.41	0.0037316740614820867
AC090403.1	9.74565084533628e-7	2.954754727594701	1	0.333	0.032333145809572174
ATP6V0D2	2.368204872470179e-7	2.9520959584282167	0.875	0.282	0.007856993305394314
AC009975.1	1.93879879477816e-8	2.9472701167537463	1	0.462	6.432352761435502e-4
HPSE2	3.3559384323987435e-8	2.925957063196476	1	0.538	0.001113399693716931
LINC02147	6.515715602951007e-9	2.8777637344082247	0.875	0.436	2.1617189655910558e-4
AC009264.1	4.860772641096677e-8	2.8594468140418505	0.875	0.385	0.0016126585391366445
AC026316.5	1.4999383377684133e-7	2.8171535706752358	1	0.667	0.004976345423214265
IL17RD	4.790942174876497e-7	2.807095337243081	1	0.41	0.015894908853587752
TRDN	6.998045108315168e-8	2.788045003197105	0.875	0.308	0.0023217414255857233
LINC01322	3.067897036097278e-8	2.784520883917823	1	0.513	0.001017836199665994
CHRNA7	4.3495168015284015e-10	2.779098191171205	1	0.513	1.4430391892430778e-5
C8orf34	1.1452078659785915e-7	2.7654139648937024	1	0.462	0.003799456136957173
CACNA1A	3.462538194534685e-8	2.7650839508341067	1	0.692	0.0011487662968007724
AL162718.1	5.690206970872585e-7	2.764353706147646	1	0.41	0.018878399667263974
LINC00393	5.440096495276204e-7	2.7586169889083734	1	0.487	0.01804860814237786
AC109466.1	6.2941875575364285e-12	2.7574066364517837	1	0.538	2.0882226059638608e-7
RHPN2	5.911727845513397e-7	2.7081361196706744	0.875	0.59	0.019613339473059797
GABRB1	5.966986321053642e-8	2.7074263670321734	0.875	0.513	0.0019796670517359667
CNTN5	1.6750166570478457e-12	2.705505999994009	1	0.692	5.557202763087638e-8
NRXN1	9.696682915541684e-12	2.6832932312544187	1	0.641	3.2170684908892643e-7
LINC02343	7.046265298492771e-7	2.68267742856669	1	0.487	0.023377394380809467
RBFOX1	7.592584995183069e-20	2.6599229037996843	1	0.821	2.5189919238518867e-15
AC112206.2	1.3093069366287935e-7	2.6489558531426094	0.875	0.436	0.004343887623653348
AC022639.1	1.0245765932167583e-6	2.6478612077628028	0.875	0.359	0.03399237763315239
GRM7	9.33651461763518e-13	2.6382830809178004	1	0.718	3.097575454692824e-8
