gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
MT1E	2.5704208045461348e-39	4.882828854644256	0.226	0.012	8.527885103242712e-35
MT2A	1.20775911142404e-61	4.711703044026061	0.407	0.043	4.006982403971538e-57
STAR	6.252313778488505e-51	4.100874375818638	0.352	0.031	2.074330142289131e-46
HSD3B2	1.1655622130534356e-47	4.007251900726477	0.337	0.03	3.866985754247383e-43
RPS12	9.01688467541964e-101	3.8648604020734347	0.653	0.141	2.9915318287639742e-96
RARRES2	1.270333817051302e-48	3.7729428083647507	0.362	0.035	4.2145865048311047e-44
RPL17-C18orf32	7.851087365489379e-91	3.764151531520432	0.623	0.097	2.6047552552484113e-86
SEMA3B	8.707504239869198e-27	3.7080946335799423	0.206	0.019	2.888888681661404e-22
COX7C	3.770636494349831e-48	3.6764377111104842	0.382	0.051	1.2509840697304434e-43
CYP21A2	1.8367337090926242e-48	3.6603003174160094	0.342	0.029	6.093731426656599e-44
RPL28	5.517949690741053e-118	3.610392814426985	0.749	0.154	1.830690168897159e-113
RPL18A	6.976264626661058e-61	3.6050728245550747	0.472	0.067	2.314515315187339e-56
SLIT2	6.928958172757341e-32	3.5930997846215034	0.281	0.059	2.298820452975703e-27
RPS10	8.165527517437152e-71	3.587696177718215	0.548	0.087	2.709077064460124e-66
RPL35A	8.145115967870783e-75	3.5489892725020145	0.578	0.095	2.7023051246604898e-70
RPS26	7.634962311687171e-70	3.535387912513618	0.558	0.105	2.5330514461484527e-65
RPL19	6.84128821382499e-81	3.5334645609908124	0.598	0.112	2.269734190700717e-76
RPL7A	2.375974652003027e-86	3.518358680760234	0.643	0.103	7.882771102950442e-82
RPS25	4.7402029196324076e-86	3.516942614638416	0.643	0.117	1.572657122646444e-81
RPL41	6.726089785450087e-124	3.5146222889324266	0.799	0.217	2.2315148081187753e-119
RPS20	9.236798839652908e-80	3.5000468035967414	0.628	0.105	3.0644927510316454e-75
RPL26	8.286928962453942e-69	3.4986929759650334	0.513	0.085	2.7493544218733443e-64
RPS7	3.6887554007318204e-59	3.498100940490751	0.482	0.083	1.2238183793007961e-54
RPS13	5.22646113699116e-65	3.4925454490811556	0.528	0.09	1.7339830114195573e-60
RPS15A	3.563215897996287e-66	3.492127138698561	0.533	0.097	1.1821681384782281e-61
GSTA1	4.77629738544295e-25	3.4807495764302687	0.206	0.022	1.5846321835684075e-20
RPS5	5.61395082663576e-53	3.4736120559686006	0.427	0.056	1.8625404657529458e-48
APOC1	9.41431883300458e-30	3.4668033234845463	0.276	0.039	3.1233885592259295e-25
SRP14	5.465352244965249e-26	3.447236682083396	0.231	0.03	1.8132399143121205e-21
RPL11	1.3055067674311171e-112	3.442825990045424	0.779	0.194	4.3312798023062174e-108
RPL18	1.9336108454012047e-84	3.4404690648430245	0.663	0.121	6.415140701787577e-80
RPL15	1.186419662831086e-74	3.427953018785331	0.583	0.086	3.936184515374694e-70
FAU	2.2489017288188387e-66	3.4183315376195265	0.548	0.083	7.461181265702261e-62
UBA52	7.812006026152199e-49	3.411865975270434	0.427	0.07	2.591789239296515e-44
RPS29	1.1208113339666642e-94	3.398134682136237	0.704	0.178	3.718515762701202e-90
