cluster	origin	percentage	N_count	T_count
CD4_Treg/Th17	N1	16.129032258064516	243	1389
CD4_Treg/Th17	N2	28.846153846153847	243	1389
CD4_Treg/Th17	N4	47.940074906367045	243	1389
CD4_Treg/Th17	N7	22.727272727272727	243	1389
CD4_Treg/Th17	T1	10.770089285714286	243	1389
CD4_Treg/Th17	T2	35.44018058690745	243	1389
CD4_Treg/Th17	T4	21.602326811211	243	1389
CD4_Treg/Th17	T7	16.55480984340045	243	1389
CD4_TN/Th17	N1	0	0	1203
CD4_TN/Th17	N2	0	0	1203
CD4_TN/Th17	N4	0	0	1203
CD4_TN/Th17	N7	0	0	1203
CD4_TN/Th17	T1	18.080357142857142	0	1203
CD4_TN/Th17	T2	5.417607223476298	0	1203
CD4_TN/Th17	T4	14.436805922792173	0	1203
CD4_TN/Th17	T7	23.042505592841163	0	1203
Resting_T	N1	25.161290322580644	131	1096
Resting_T	N2	18.46153846153846	131	1096
Resting_T	N4	12.734082397003744	131	1096
Resting_T	N7	15.151515151515152	131	1096
Resting_T	T1	19.029017857142858	131	1096
Resting_T	T2	11.512415349887133	131	1096
Resting_T	T4	14.09307244843998	131	1096
Resting_T	T7	12.751677852348994	131	1096
CD8_FOXP3_Treg	N1	0	0	969
CD8_FOXP3_Treg	N2	0	0	969
CD8_FOXP3_Treg	N4	0	0	969
CD8_FOXP3_Treg	N7	0	0	969
CD8_FOXP3_Treg	T1	11.774553571428571	0	969
CD8_FOXP3_Treg	T2	20.31602708803612	0	969
CD8_FOXP3_Treg	T4	12.136435748281333	0	969
CD8_FOXP3_Treg	T7	15.58538404175988	0	969
CD4_TN	N1	0	0	867
CD4_TN	N2	0	0	867
CD4_TN	N4	0	0	867
CD4_TN	N7	0	0	867
CD4_TN	T1	11.049107142857142	0	867
CD4_TN	T2	11.286681715575622	0	867
CD4_TN	T4	12.956107879428874	0	867
CD4_TN	T7	9.619686800894854	0	867
CTLA4_T	N1	0	0	855
CTLA4_T	N2	0	0	855
CTLA4_T	N4	0	0	855
CTLA4_T	N7	0	0	855
CTLA4_T	T1	18.805803571428573	0	855
CTLA4_T	T2	5.191873589164786	0	855
CTLA4_T	T4	7.747223691168694	0	855
CTLA4_T	T7	15.06338553318419	0	855
CD8_Cyto_gdT	N1	39.354838709677416	213	768
CD8_Cyto_gdT	N2	29.23076923076923	213	768
CD8_Cyto_gdT	N4	17.60299625468165	213	768
CD8_Cyto_gdT	N7	43.93939393939394	213	768
CD8_Cyto_gdT	T1	10.044642857142858	213	768
CD8_Cyto_gdT	T2	9.932279909706546	213	768
CD8_Cyto_gdT	T4	11.97778952934955	213	768
CD8_Cyto_gdT	T7	6.785980611483967	213	768
CD8_Cyto_Ext_gdT	N1	19.35483870967742	161	211
CD8_Cyto_Ext_gdT	N2	23.46153846153846	161	211
CD8_Cyto_Ext_gdT	N4	21.722846441947567	161	211
CD8_Cyto_Ext_gdT	N7	18.181818181818183	161	211
CD8_Cyto_Ext_gdT	T1	0.44642857142857145	161	211
CD8_Cyto_Ext_gdT	T2	0.9029345372460497	161	211
CD8_Cyto_Ext_gdT	T4	5.050237969328398	161	211
CD8_Cyto_Ext_gdT	T7	0.5965697240865027	161	211
