gene,1,2,3,4,5,6,7,8,9
IL22,2.6667,-0.3333,-0.3333,-0.3333,-0.3333,-0.3333,-0.3333,-0.3333,-0.3333
GNLY,2.1523,-1.159,0.8456,-0.5199,-0.6845,-0.5835,0.3734,-0.1985,-0.2259
AHR,1.6302,-0.7458,-0.436,-1.1837,-1.1902,0.9451,-0.2056,0.8569,0.3291
SRGN,1.2417,-0.4488,0.3353,-1.3842,-1.4748000000000001,-0.0662,0.8125,-0.1801,1.1646
TNFRSF4,0.0248,-0.3837,1.5882,-0.2724,-1.7296,0.2337,0.4498,-0.9562,1.0454
MKI67,1.4198,-0.3533,-0.5174,1.5521,0.8588,-0.4431,-0.5366,-0.9901,-0.9901
CCR7,-0.6721,-0.2788,-1.239,0.845,1.611,-1.1044,-0.59,0.5753,0.8529
SELL,-0.8547,0.2848,-0.996,0.1886,1.4782,-1.1249,-0.7151,0.2836,1.4554
ICOS,-1.3399,0.8801,0.0227,0.5597,1.3531,0.8343,-1.083,-1.1896,-0.0373
TNFRSF18,-0.188,-0.4452,0.6684,-0.8504,-0.7396,2.2138,0.4281,-0.9763,-0.1107
ITGA4,-0.4608,0.5134,1.1069,-1.0993,-1.0878,1.7255,0.2582,-0.9287,-0.0274
STAT1,-0.0262,0.4102,0.8552,-0.4099,-1.4793,1.6313,0.6222,-0.3493,-1.2542
IL2RA,0.6451,0.3842,-1.2086,0.0989,-1.409,1.2238,0.497,0.9352,-1.1667
NKG7,0.2765,-0.5841,-0.1033,-0.5277,-0.8355,-0.5247,2.4907,0.1253,-0.3172
ITGB2,0.1644,-0.1362,-0.8291,-0.3139,-1.184,-0.0389,2.3985,0.0423,-0.103
LTB,-1.0058,-0.1356,-0.431,-0.2483,-0.2118,-0.1687,2.387,-0.7764,0.5905
S100A10,-0.0742,-0.2307,0.1148,-0.4795,-0.6612,0.511,2.3703,-1.0749,-0.4755
CXCR4,-1.1812,-0.0774,0.3748,-0.6695,-0.0708,-0.3342,2.3122,-0.6693,0.3153
CXCR3,-0.1051,0.2538,0.456,-1.0227,-1.2699,0.3642,2.1419,-0.3699,-0.4482
GZMA,0.0968,-0.346,0.9506,-0.8402,-1.0168,0.0799,2.1397,-0.7276,-0.3364
HSP90AA1,0.4583,-1.2771,0.1904,-1.0845,-0.3808,0.217,1.8762,0.7859,-0.7853
GZMK,0.4862,-0.479,1.0893,-0.454,-1.0444,-0.0333,1.8581,-1.2521,-0.1708
KLRB1,-0.4469,0.0222,1.1534,-0.7782,-0.7529,0.6219,1.8074,-1.2137,-0.4132
CCR6,-0.5828,-0.535,1.2676,-0.7254,-1.1203,0.8152,1.7097,-0.5799,-0.2492
HSPA1B,-0.1244,-1.0309,0.4424,-1.4746,-0.8513,0.2113,1.6697,0.1763,0.9815
ISG15,0.32,-1.1644,-0.8583,-0.1243,0.746,1.1284,1.5981,-0.9841,-0.6615
IL7R,-1.3022,-0.1546,1.1964,-1.2441,-0.1113,0.4853,1.5697,-0.7159,0.2767
CCL5,0.9793,-0.7078,0.8799,-1.1294,-1.4245,0.2777,1.5183,-0.1703,-0.2231
FOXP3,-0.2264,-0.0381,-0.1821,-0.0406,0.6934,-0.4075,-0.9427,2.2635,-1.1195
TCF7,-0.8666,-0.1329,-0.875,1.002,1.1752,-0.5647,-1.2611,1.4727,0.0506
DUSP4,1.0721,-0.7437,-0.6553,-0.8419,-0.7092,-0.1721,-0.4639,0.4661,2.048
PDCD1,0.8975,-0.1545,0.0427,0.943,-0.0077,-0.936,-0.4513,-1.7706,1.4369
