gene,1,2,3,4
TIGIT,0.7557,0.4638,0.2477,-1.4671
ITGA1,-0.5529,1.4948,-0.5615,-0.3803
CREM,-0.6072,1.4745,-0.635,-0.2323
HMGB2,-0.9174,1.4188,-0.1515,-0.3498
MKI67,-1.1406,1.2831,-0.2168,0.0743
HMGB1,-1.019,1.2423,0.3319,-0.5552
CST7,-1.37,1.029,0.2253,0.1158
IL7R,-0.3688,0.9508,-1.2372,0.6552
TCF7,0.5885,0.8935,-1.3563,-0.1257
CCR7,-0.5,-0.5,1.5,-0.5
GZMA,-0.8917,-0.4146,1.4212,-0.1148
HSP90AA1,-0.9745,-0.036,1.3823,-0.3719
PDCD1,0.0459,-0.4647,1.3701,-0.9512
GZMK,0.303,-0.4707,1.2398,-1.0722
EOMES,-0.4469,0.5274,1.082,-1.1625
HSPA5,-1.1131,-0.5659,0.9641,0.715
RUNX1,0.5939,-0.1439,0.8987,-1.3487
GNLY,-0.5412,-0.4625,-0.4955,1.4992
CX3CR1,-0.5682,-0.4946,-0.435,1.4978
SELL,-0.6033,-0.2754,-0.6033,1.482
FCGR3A,-0.3376,-0.7264,-0.4146,1.4787
KLRD1,-0.2949,-0.3438,-0.8187,1.4575
TSC2,-0.144,-0.7739,-0.5307,1.4487
HSP90AB1,-0.8086,0.0183,-0.6131,1.4035
GZMH,-0.8641,-0.546,0.0118,1.3982
FGFBP2,0.0059,-0.8879,-0.5136,1.3956
HAVCR2,-0.4212,-0.0326,-0.939,1.3928
LEF1,-0.4619,0.0029,-0.9284,1.3874
ITGB1,0.0777,-0.4216,-1.0021,1.3461
NKG7,-0.8468,-0.7547,0.3366,1.2649
ATM,0.1395,-0.0331,-1.2726,1.1662
LAG3,0.6772,-1.2237,-0.3956,0.9421
