gene,1,2,3,4,5,6,7
ICOS,1.65,0.13,-0.47,-0.34,-0.13,0.71,-1.55
PRKCQ,1.58,1.08,-0.82,-0.37,0.12,-0.44,-1.15
FOXP3,1.56,-0.27,0.59,0.15,0.05,-1.73,-0.35
CD4,1.34,1.03,-1.03,0.78,-0.73,-0.67,-0.72
TCF7,1.26,-0,1.14,0.23,-0.88,-0.26,-1.5
CCL20,-0.55,2.15,-0.68,0.28,-0.22,-0.4,-0.59
CCR6,-0.22,2.07,-0.7,0.24,-0.62,0.07,-0.85
RORC,-0.6,1.9,-0.6,0.69,-0.81,0.15,-0.73
TNFRSF4,0.45,1.83,-0.31,0.51,-0.6,-0.93,-0.93
DPP4,-0.21,1.79,-0.44,0.26,-1.03,0.64,-1.01
TNFRSF18,-0.46,1.74,-1.06,0.73,-0.82,0.4,-0.53
MAF,-0.5,1.7,-1.39,-0.19,0.85,-0.41,-0.06
CD3E,0.04,1.59,-0.01,-1.66,-0.6,0.06,0.57
TNFSF10,-0.24,1.58,-1.41,1.06,-0.26,-0.31,-0.42
CXCR4,-0.4,1.46,-0.22,-1.45,0.24,1.03,-0.66
CCR2,-0.79,1.44,-1.03,0.67,-0.22,0.89,-0.96
SLC4A10,-0.96,1.4,-1.01,1.19,-0.82,0.15,0.04
IL7R,0.25,1.37,0.49,-0.05,-1.23,0.57,-1.4
IL17F,-0.45,1.32,-1.23,0.22,-1.23,0.85,0.51
CTLA4,1.22,1.28,-0.27,0.09,-0.9,0,-1.41
S1PR1,-0.44,1.11,-0.43,-0.3,-1.66,1.02,0.7
CD28,1.04,1.08,0.15,0.36,-0.61,-0.23,-1.78
TNF,-0.75,0.95,-1.72,-0.26,0.79,0.95,0.04
CCR7,1.14,-0.16,1.58,-0.07,-0.92,-0.56,-1
LEF1,1.17,-0.15,1.54,-0.04,-0.94,-0.59,-0.99
SELL,1.23,-0.11,1.52,-0.27,-1.03,-0.43,-0.91
CD27,0.11,-0.06,1.42,0.07,-0.06,0.46,-1.93
CD8B,-1.28,-0.78,1.17,-0.36,0.72,1.16,-0.64
MKI67,-0.25,-1.88,1.15,-0.01,1.01,-0.21,0.19
IL17A,-0.38,-0.38,-0.38,2.27,-0.38,-0.38,-0.38
IL22,-0.38,-0.38,-0.38,2.27,-0.38,-0.38,-0.38
AHR,-0.52,0.32,-0.91,2,-0.86,0.17,-0.21
IL23R,-0.66,0.47,-0.65,1.94,-0.65,-0.78,0.33
CCR9,-0.65,-0.07,-0.99,1.89,-0.44,-0.5,0.77
ENTPD1,-0.6,-0.25,-0.72,1.76,-0.63,-0.64,1.07
BTLA,0.21,-0.12,0.62,1.73,-1.2,-0.21,-1.03
ITGAE,-1.16,-0.13,-1.25,1.59,0.47,-0.1,0.58
TOP2A,-0.9,-0.66,-0.64,1.48,-0.81,0.37,1.17
IL2RA,0.64,0.8,-1.23,1.47,-0.66,-0.14,-0.9
IL1R1,-0.68,0.89,-1.43,1.46,-0.39,-0.39,0.53
IL10,0.79,-0.79,0.73,1.26,-1.13,-1.13,0.27
CCR3,-1.05,-0.64,-1.2,1.17,0.02,0.53,1.17
ZBTB16,0.68,0.72,-0.38,1.08,-1.91,0.01,-0.21
ID3,-0.74,0.97,0.94,1.06,-0.99,-1.24,-0
PDCD1,-0.06,-0.39,-0.7,-0.09,2.2,-0.29,-0.66
TNFRSF9,-0.81,-0.65,-0.52,0.38,2.01,-0.64,0.23
TIGIT,-0.4,-0.93,-0.7,0.02,1.99,-0.51,0.53
CCR4,0.34,-0.43,-1.46,-0.16,1.87,-0.21,0.04
