gene	Adipo	Bcell	CLC	Endo	Eryth	Fib	LEC	Myeloid	Plasma	PSC	Tcell	unknown_5	ZF	ZG	ZR
ADIPOQ	3.605706041280922	-0.21183749048377387	-0.05729236106912679	-0.3004094419556537	-0.23603461311801097	-0.2625210014336331	-0.3170235948689138	-0.24981885786075553	-0.21048345622123088	-0.3221413208764442	-0.21084241323792	-0.2532480985763304	-0.32272901160882594	-0.32418565762175794	-0.3271387223485443
FABP4	3.5421173857824058	-0.17612385466202995	-0.10790002431792166	-0.07245428871458946	-0.2455451709756279	-0.04653678788935524	0.19838178195043976	-0.2961669347448603	-0.2921456812881364	-0.4410621730637813	-0.27080672982972426	-0.23560433663382752	-0.5226421259141661	-0.5149512725521924	-0.5185597871466322
MCAM	3.4325654390292994	-0.4450154414987775	-0.08213719830931826	0.44548350519143654	-0.5656048757399996	0.32039410860668976	-0.5481270410233486	-0.4784515560574685	-0.41512262717003395	-0.03295577290163141	-0.3742098604174494	-0.3534146716301641	-0.3767621736031991	0.004410208425753377	-0.5310520429017884
AIFM2	3.2055971053110266	-0.029622674526945378	0.02923750375814066	-0.7684680063428906	-1.087155975274072	-0.16289102089874136	-0.9174598128498392	-0.4556398779963436	0.047004024905180984	0.026938952605907035	-0.06903637940825508	-0.5447575217271362	0.5032251803850434	-0.2702721277705895	0.49330062982951334
CYB5A	2.5444394720051817	-0.622359337987425	-0.45354141839613865	-0.1626641629440167	0.3843376422103027	0.31091489203416417	-0.2770875161145922	-0.44211538361358393	-0.9957826480897192	0.8318360874068458	-0.733154369795827	-0.8188128031947796	-0.5683681408506488	-0.654849546320982	1.6572072336512185
CD79B	-0.26841946424810875	3.5879980991506955	-0.09089730572102463	-0.11906994999352352	-0.23502191683874682	-0.3036395577516598	-0.3834431842981226	-0.29895994981132223	-0.03313896135413893	-0.36106609459673056	-0.15105821080566	-0.15717284462645148	-0.39571076521662657	-0.3945512874487422	-0.3958486064398382
MS4A1	-0.20471312866045532	3.570137315127653	0.09146690694200958	-0.3659422934896362	-0.11717394260455698	-0.3025796467870753	-0.412269548808085	-0.284995696760441	-0.14553387317985672	-0.41003497791708243	-0.10655207852308465	-0.0790760109894848	-0.41123231661078374	-0.4111677222236586	-0.4103329855154621
CD79A	-0.19940407550711148	3.5183658562489595	-0.002365049774627345	-0.39920392659602494	-0.2549298302816964	-0.3208392190853026	-0.44920898642126583	-0.31482940294470335	0.3734003467702398	-0.4446857109356431	-0.1014687545005644	-0.061022394097980215	-0.44657769317517354	-0.4480221732778402	-0.44920898642126583
CD19	-0.3242053938586351	3.4311151143557446	-0.018527560910992537	-0.4364230178491122	0.3964001294119271	-0.38837398387539823	-0.44312055307267617	-0.3368967798635538	0.5290979828376534	-0.4494404918808334	-0.21094372702120054	-0.3064561653651557	-0.47792001901693365	-0.48061321254088135	-0.48369232134995244
TH	-0.5306751799287199	-0.14629984521729839	3.4222336364030483	0.31207251899348465	-0.5306751799287199	-0.212579166412119	-0.5306751799287199	-0.23307360322647372	-0.5306751799287199	0.44965271188406264	-0.5306751799287199	-0.5306751799287199	-0.24532706488492995	-0.3101339276420474	0.14750581967459217
FAP	-0.5137534336439572	0.02568037398430491	3.2795514370028496	0.8090312629288259	-0.30717769324873295	0.3655326132809251	-0.4762081508785464	-0.03145039282780376	-0.32338238585602197	-0.39288656187454385	0.08645972023596452	-0.6524054622044917	-0.6140864967859003	-0.5464163782658183	-0.7084884518470544
CHGA	-0.5129580326365265	0.21334000556555197	3.277317142476262	-0.04746225998242285	-0.8882148729070519	-0.1291735830332106	-0.8882148729070519	0.2543523989524489	-0.386638553261794	0.01175809008973347	-0.19459378845583356	-0.8882148729070519	-0.10117525008719594	-0.22285897769541846	0.5027374267895625
