"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NRXN1",2.94589294669357e-54,6.37585898672816,1,0.745,9.77358902924526e-50
"XKR4",1.85523240389715e-50,5.86454045322341,1,0.766,6.15510454640956e-46
"AC008056.1",2.03294964322105e-30,5.30964940076529,1,0.638,6.74471703131449e-26
"HAND2",1.36068079420375e-06,5.18485717873026,1,0.426,0.0451433067092977
"NRXN3",1.85189263943435e-38,5.10707203197042,1,0.83,6.14402420985133e-34
"SHISA9",3.55902187467692e-56,5.10289700348575,1,0.723,1.18077668736156e-51
"PRIMA1",1.44736679894579e-26,5.08834269006336,1,0.638,4.80192882886244e-22
"SLC24A2",4.65958259180872e-30,5.05240369445736,1,0.638,1.54590971648438e-25
"GRIK3",3.93049209342644e-19,4.96853365662417,1,0.638,1.30401936183609e-14
"PTPRZ1",6.05772567151697e-18,4.96204491306179,1,0.617,2.00977164603919e-13
"CADM2",6.60174915902365e-102,4.85571323607774,1,0.809,2.19026231848928e-97
"DGKB",2.42237858346255e-30,4.81866830742544,1,0.723,8.0367254263537e-26
"SRRM4",1.2630234683661e-26,4.71919677457639,1,0.681,4.19033296099822e-22
"SORCS3",4.84529932673464e-39,4.70739166632808,1,0.681,1.60752495763075e-34
"PCSK2",8.03007747358183e-23,4.6916830301855,1,0.681,2.66413880341024e-18
"HAND2-AS1",7.73937302644744e-13,4.61701933740626,1,0.702,2.56769178898447e-08
"SLC18A1",1.21446080208152e-13,4.60115381357239,1,0.426,4.02921660306585e-09
"LRRTM3",6.92002340267545e-20,4.59906456150874,1,0.681,2.29585616430563e-15
"LGI4",2.56975099385492e-10,4.56350276545028,1,0.638,8.52566287231247e-06
"PPP2R2C",3.40568386724263e-23,4.54367397387089,1,0.638,1.12990373663509e-18
"AC096570.1",6.61985769474462e-22,4.53718445957619,1,0.681,2.19627018738542e-17
"ERBB3",6.40456368421591e-34,4.53000088160835,1,0.66,2.12484209351231e-29
"FAM163A",4.89642486345284e-24,4.50590249181879,1,0.638,1.62448687694775e-19
"UNC5D",8.17971009876144e-33,4.50049399616293,1,0.745,2.71378241946608e-28
"ZMAT4",1.00347812155547e-30,4.48808908809311,1,0.66,3.32923936388458e-26
"LRRTM4",1.54368955251905e-47,4.48790003774349,1,0.745,5.12149882839245e-43
"LINGO2",1.63381178131404e-14,4.47435255288346,1,0.787,5.42049734686557e-10
"L1CAM",2.25233697650001e-17,4.46818782607141,1,0.489,7.47257838693409e-13
"MYT1L",1.22871627520042e-45,4.43387633836151,1,0.766,4.07651198623243e-41
"AC022679.2",7.35399321662763e-09,4.39039624049865,1,0.404,0.000243983432948055
"TYR",1.93489164639854e-22,4.38963965761886,1,0.553,6.41939001525645e-18
"AC099673.1",4.60331576421402e-23,4.37724419804317,1,0.66,1.52724207109329e-18
"KCNU1",7.20214500121666e-21,4.37119939245458,1,0.638,2.38945564705365e-16
"VWA3B",1.09814726256782e-26,4.35178319334932,1,0.638,3.64332317302126e-22
"GRIK2",3.82469315042508e-30,4.35064379374598,1,0.851,1.26891844651653e-25
"GABRB1",8.54565126818629e-26,4.34886510922843,1,0.681,2.83519072124617e-21
"RIMBP2",9.87025977261465e-17,4.34357304782972,1,0.766,3.27465608476036e-12
"EPHA5",2.3161799661842e-29,4.34319307091765,1,0.638,7.68439027380932e-25
"FSTL5",2.40095551442854e-38,4.33678023921364,1,0.766,7.96565011021958e-34
"AC022639.1",2.59589239630137e-22,4.32488491633869,1,0.66,8.61239220320905e-18
"KIRREL3",4.59054484604629e-30,4.32366711454045,1,0.766,1.52300506357278e-25
"GLYAT",6.01368197541243e-18,4.32048730411178,1,0.532,1.99515926898258e-13
"LINC01663",1.1412374941286e-09,4.31403906379989,0.75,0.511,3.78628363427046e-05
"FAM230C",7.46966649527227e-11,4.31360276542663,1,0.468,2.47821125313648e-06
"PLP1",3.1307539379346e-10,4.3085566343438,1,0.447,1.03869023398856e-05
"COX7B2",1.82088256401829e-34,4.29060737095186,1,0.638,6.04114208264348e-30
"SPOCK3",3.87887933374271e-22,4.28399080548758,1,0.723,1.28689579655582e-17
"AC010745.2",7.48604899590997e-24,4.2813004834101,1,0.574,2.48364647537305e-19
"AC022784.1",9.55819460433223e-36,4.27787375134509,1,0.745,3.17112222387931e-31
"COL22A1",6.29849232253282e-29,4.27513355368705,1,0.681,2.08965079784671e-24
"SLC6A2",5.77981516243891e-23,4.27050244706923,1,0.574,1.91756927644236e-18
"AC096746.1",3.8719668479516e-21,4.26658790488181,1,0.596,1.2846024411449e-16
"AL954650.1",7.47072260828765e-15,4.26064833965799,1,0.468,2.47856163975159e-10
"KCNQ2",2.08035755800004e-18,4.25924226848929,1,0.617,6.90200227017674e-14
"CTNND2",4.35891564924667e-24,4.25804359615425,1,0.809,1.44615744495057e-19
"LINC01956",3.60366233890143e-14,4.25506493775309,1,0.574,1.19558705417733e-09
"HCN1",1.0583481463529e-08,4.25156494458083,1,0.66,0.0003511281645155
"RFX6",1.69708675074753e-25,4.24893582063667,1,0.553,5.63042471295507e-21
"GABRA2",4.81191642313754e-23,4.22785957953651,1,0.638,1.59644951170434e-18
"CSMD3",2.46623243812993e-30,4.22564778973364,1,0.787,8.18221935998366e-26
"SCHLAP1",5.7031259856089e-29,4.22037250043069,1,0.66,1.89212610824547e-24
"XIRP2",1.57505731183868e-28,4.22009014438016,1,0.638,5.22556764348718e-24
"GABRG2",7.40258687844637e-25,4.2181787274323,1,0.553,2.45595624866215e-20
"CCDC63",6.82589037684603e-22,4.21730902775505,1,0.681,2.26462565032621e-17
"AC018680.1",5.30768747817933e-16,4.21679650156896,1,0.638,1.76093147463556e-11
"CARD18",1.81428016008222e-25,4.209267914603,1,0.66,6.01923728710479e-21
"LINC00971",3.12564756035083e-52,4.20682116591912,1,0.638,1.0369960910976e-47
"AC012593.1",4.57917697688524e-19,4.20539934124587,1,0.681,1.51923354562121e-14
"LINC01192",1.3737525806387e-30,4.20497598810995,1,0.681,4.557698936785e-26
"LINC00383",6.76435909974904e-11,4.20232743383442,0.75,0.447,2.24421141852374e-06
"RGSL1",1.34947250946123e-31,4.19939164882538,1,0.66,4.47714494463952e-27
"AC084816.1",6.09339451037331e-32,4.19249610535728,1,0.723,2.02160549670655e-27
"AC078980.1",2.33094891850006e-17,4.19089954955482,1,0.596,7.73338922690765e-13
"AC090809.1",1.93888400564047e-15,4.19063645506963,1,0.66,6.43263546551339e-11
"AL445433.2",1.01550621912808e-19,4.1892646514318,1,0.638,3.36914498320124e-15
"AC090502.1",2.17956324890188e-23,4.18750981774166,1,0.681,7.23113699088178e-19
"AC046195.2",1.40657648178841e-14,4.18594727615248,1,0.574,4.66659879362942e-10
"GRIA4",4.60400265312484e-07,4.18149656748264,1,0.596,0.0152746996022723
"ASB18",5.75281210081557e-16,4.17993279081721,1,0.553,1.90861047068758e-11
"CHST9",2.29167047143997e-28,4.17769036176317,1,0.681,7.60307512309638e-24
"LRRC4B",6.52688961652968e-20,4.17609251347479,1,0.681,2.16542616807605e-15
"KCNJ6",1.1197784445643e-34,4.17552251703994,1,0.723,3.71508894553098e-30
"LINC01162",1.32583035606378e-29,4.17531100979376,1,0.66,4.39870737231281e-25
"AC020907.1",5.7613445528191e-21,4.17398475054761,1,0.574,1.91144128228879e-16
"AC023796.1",1.9123171999577e-16,4.17268854686017,1,0.596,6.34449477429967e-12
"AC020907.6",6.26219000998567e-13,4.17079439529844,1,0.383,2.07760677961295e-08
"KCNB2",6.10883271827479e-31,4.17025265085624,1,0.723,2.02672743094203e-26
"IL1RAPL1",1.54659025591361e-27,4.16629811202171,1,0.745,5.13112249204458e-23
"CR382287.2",4.24560986144495e-15,4.16620301757594,1,0.66,1.40856598373159e-10
"LINC00348",6.56982752400565e-14,4.16607466793684,1,0.532,2.17967167763935e-09
"LINC01630",1.27213618388027e-25,4.16572723886774,1,0.681,4.22056621725958e-21
"AC068672.2",5.89902502395589e-11,4.16532030736565,1,0.489,1.95711953219785e-06
"RBPJL",1.56302362213529e-15,4.15960030817707,1,0.574,5.18564347115824e-11
"IL12A-AS1",2.25415681707916e-33,4.15855447552293,1,0.766,7.47861607202353e-29
"LINC02267",5.41506110929385e-32,4.15833732659655,1,0.702,1.79655482423042e-27
"SLC13A1",9.72820873074921e-16,4.1582952915343,1,0.532,3.22752781060066e-11
"AC096577.1",3.7134960943765e-24,4.15510368299706,1,0.638,1.23202659923129e-19
"LINC01924",3.95291134526377e-24,4.1505591853661,1,0.681,1.31145739701816e-19
"LINC01677",8.27107198293034e-23,4.14951815607504,1,0.532,2.7440935517768e-18
"LINC01641",1.72472546358944e-23,4.14640762056155,1,0.553,5.7221216705507e-19
"ATP6V0D2",1.16586669473191e-14,4.14532017177565,1,0.681,3.86799593311206e-10
"AC103855.3",1.21027699025754e-15,4.14503872808626,1,0.574,4.01533597057745e-11
"NOL4",5.89033238076198e-19,4.14374003347522,1,0.617,1.9542355739654e-14
"AP003900.1",4.33278642083524e-14,4.1416866159989,0.75,0.511,1.43748855084051e-09
"DMRT1",9.81374312023893e-21,4.14036641551876,1,0.66,3.25590555500167e-16
"PKHD1",1.99501358548672e-39,4.1402131361574,1,0.702,6.61885657256928e-35
"AL355974.2",7.13799324550885e-09,4.13612272624539,1,0.426,0.000236817201906247
"LINC01789",7.00644372508733e-11,4.13425643020083,1,0.468,2.32452783467222e-06
"AC007402.1",6.28198075149364e-27,4.13349665230558,1,0.745,2.08417275392305e-22
"GRIN2A",3.46049016511875e-18,4.13209985638842,1,0.723,1.14808682208145e-13
"MGAT4C",5.27035581385811e-11,4.13205829041646,1,0.809,1.7485459483637e-06
"LINC01781",3.86001124321839e-12,4.13162233723028,1,0.511,1.28063593016257e-07
"LINC01378",8.34369572620412e-25,4.12760702866558,1,0.66,2.76818793108274e-20
"AGBL1",7.13934010269264e-34,4.12734331670521,1,0.766,2.36861886587034e-29
"AC097521.1",7.04210519804075e-18,4.12532666681502,1,0.532,2.33635924155398e-13
"AC016687.2",3.06836876525723e-24,4.12204040086046,1,0.596,1.01799270524939e-19
"AC012574.1",7.87178133122212e-21,4.12194004055999,1,0.638,2.61162089225956e-16
"GGT2",5.20340514089174e-20,4.12181509185914,1,0.553,1.72633372359365e-15
"DDC",2.05470061143872e-13,4.1203997136285,1,0.468,6.81688021857023e-09
"TTC6",3.28835264530842e-20,4.1183464027153,1,0.66,1.09097675713397e-15
"AIPL1",1.55156461368315e-19,4.11749190242207,1,0.617,5.1476259188166e-15
"GSG1L",1.69662424285514e-25,4.11444345088584,1,0.745,5.6288902505205e-21
"MTUS2",1.52814440072887e-25,4.11411571057676,1,0.766,5.06992467829818e-21
"SCN10A",1.46213373273331e-15,4.11130429211482,1,0.596,4.85092108508931e-11
"SMYD1",2.45962064677498e-17,4.10645233626831,1,0.489,8.16028341980536e-13
"LINC00879",8.9400833231331e-30,4.10531905796323,1,0.66,2.96605144411587e-25
"LINC02377",4.66029969328077e-14,4.10379265641856,1,0.553,1.54614762923976e-09
"LRP2",3.88981138982271e-20,4.10353412340786,1,0.638,1.29052272480148e-15
"HCRTR2",2.55958834449289e-18,4.10239879302902,1,0.617,8.49194625052405e-14
"AP001993.1",4.62879561455557e-20,4.09860741703,1,0.617,1.5356955210411e-15
"ATP6V0A4",2.48631145408835e-32,4.09585359619637,1,0.766,8.24883551122893e-28
"GABRA5",3.1023149420796e-15,4.09200470471325,1,0.553,1.02925502833375e-10
"LINC00393",3.17667358108461e-14,4.08844263778148,1,0.638,1.05392499399644e-09
"HPSE2",3.50898887131081e-33,4.08839541258011,1,0.766,1.16417723783479e-28
"FUT9",5.26462881657012e-22,4.08836652538114,1,0.617,1.74664590247347e-17
"LINC02438",4.90040612419538e-21,4.08824733982294,1,0.681,1.6258077398243e-16
"LINC01856",9.14785322368507e-09,4.08681250672136,1,0.553,0.0003034983264022
"UNC13C",6.93637255539648e-24,4.08597325147738,1,0.702,2.30128032270389e-19
"ABCA13",2.32965353534732e-19,4.08313045257531,1,0.702,7.72909153422182e-15
"LINC00635",3.90837530850667e-14,4.08267193705937,1,0.489,1.29668167610326e-09
"CHD5",9.70157920963911e-27,4.08208376477267,1,0.617,3.21869293438197e-22
"ROS1",1.46815178927099e-14,4.08140172270715,1,0.574,4.87088719126435e-10
"CA10",7.32747004293376e-19,4.08059409999906,1,0.723,2.43103473614413e-14
"AL355838.1",1.21514598757804e-19,4.07770787552492,1,0.617,4.03148984298768e-15
"AC111198.1",5.34572493041496e-13,4.0759389658215,1,0.489,1.77355116016377e-08
"FOXN1",1.27422064758333e-16,4.07439015283614,1,0.532,4.22748184248722e-12
"GRM8",1.60759921049072e-46,4.07426382169169,1,0.745,5.33353190064505e-42
"LINC01501",3.76146575935497e-16,4.07381806517163,1,0.596,1.2479414949812e-11
"GRM4",1.11850261943034e-20,4.07183502561964,1,0.617,3.71085614048405e-16
"AC009435.1",1.59979305033478e-24,4.07146184443887,1,0.681,5.3076334030957e-20
"AL117329.1",3.44653911950726e-40,4.07095424805215,1,0.681,1.14345828367892e-35
"GABRR3",2.85478772720038e-10,4.07052896002828,1,0.404,9.47132924253271e-06
"AL691420.1",3.96854025826706e-30,4.07049749615998,1,0.702,1.31664260148526e-25
"TFAP2B",2.90869215021531e-07,4.06960413281254,1,0.255,0.00965016794676932
"AP005230.1",3.33445550318816e-27,4.06894800764365,1,0.766,1.10627230229274e-22
"DEPDC1-AS1",5.06095361566148e-13,4.06810049103903,1,0.404,1.67907258106801e-08
"MAPT-AS1",1.25108313306007e-28,4.06760770715066,1,0.638,4.1507185105534e-24
"AL136529.1",1.01689994328235e-28,4.06637041528981,1,0.596,3.37376894182784e-24
"GALNTL5",2.70976742479582e-23,4.06624626003998,1,0.681,8.9901953852451e-19
"GRM5",2.43077044671756e-26,4.06459477622516,1,0.702,8.06456711107485e-22
"C10orf90",4.36349440459113e-22,4.06387085957344,1,0.638,1.4476765386112e-17
"LINC02429",7.79608055397287e-08,4.05979791882502,0.75,0.404,0.00258650564539158
"AL353595.1",2.5825772700853e-19,4.05789768652677,1,0.702,8.56821660896199e-15
"VSTM2B",3.42546982642303e-14,4.05656826047544,1,0.574,1.13646812431237e-09
"EVPL",6.05062138179043e-18,4.05458886279049,1,0.638,2.00741465583661e-13
"AC090679.1",2.166908660572e-17,4.05014870794381,1,0.489,7.18915286317971e-13
"AC087457.1",2.385272183828e-12,4.04993800347421,0.75,0.426,7.91361752428617e-08
"TEX101",1.4374911227344e-16,4.04833636812688,1,0.553,4.76916429789591e-12
"MUC17",5.98291222777778e-19,4.04564720051519,1,0.574,1.98495078980983e-14
"CLCN1",1.41602280226781e-12,4.04558833810032,1,0.553,4.69793885108391e-08
"LINC01288",2.55488873681978e-14,4.04498681299321,1,0.553,8.47635436214698e-10
"LINC00603",2.65955752104834e-16,4.04267345910717,1,0.617,8.82361398758209e-12
"LINC00276",1.29904811870521e-21,4.04257790798297,1,0.787,4.30985194342829e-17
"AL161646.2",9.49413594146599e-12,4.04181430377289,1,0.489,3.14986948130017e-07
"AC026167.1",1.18970221894518e-14,4.04162442393614,1,0.66,3.94707505179443e-10
"XDH",2.97529274539324e-19,4.04089222849355,1,0.617,9.87112874139114e-15
"AC018467.1",4.5446355921265e-18,4.03833114149648,1,0.638,1.50777375039981e-13
"MIR3976HG",1.9666207590833e-18,4.03802986631612,1,0.532,6.52465769241065e-14
"CACNA1A",2.03657391711414e-36,4.03686794555811,1,0.83,6.75674128480957e-32
"TEKT5",9.89536235189868e-15,4.03577423990538,1,0.617,3.28298436748942e-10
"LINC02232",1.98809120855993e-17,4.03336065415408,1,0.404,6.59589020263928e-13
"GS1-24F4.2",6.92696842723382e-14,4.03252374513466,1,0.596,2.29816031510336e-09
"CSMD1",2.27624627920785e-36,4.03000354206906,1,0.83,7.55190228052788e-32
"AC073176.3",7.74630703909445e-19,4.02936273261553,1,0.681,2.56999228636036e-14
"PRDM9",3.91737712825455e-17,4.02838974471689,1,0.574,1.29966820984101e-12
"AC012413.1",4.99816629425601e-09,4.02743667417641,1,0.468,0.000165824163144532
"AC022523.1",7.87316149166124e-29,4.02720119168415,1,0.681,2.61207878808845e-24
"CAMK2B",7.47318629580638e-23,4.02673620108316,1,0.638,2.47937901735968e-18
"OSTM1-AS1",6.98812380701912e-15,4.02581123472268,1,0.574,2.31844983545473e-10
"SNTG1",1.86619365465482e-23,4.02576651235449,1,0.723,6.19147068804828e-19
"FLJ40288",3.650351527084e-14,4.02534455704763,1,0.596,1.21107712614066e-09
"DYTN",3.27218241481503e-16,4.02518239849584,0.75,0.574,1.08561195976318e-11
"LINC01609",1.26499817705186e-15,4.02414298977945,1,0.638,4.19688445200496e-11
"AC007846.1",1.48736659487787e-20,4.02354667883804,1,0.66,4.93463615182631e-16
"IGSF1",4.70464577256544e-15,4.01783440908194,1,0.596,1.56086032796404e-10
"TRPC7",4.21026867132891e-21,4.01692467266902,1,0.553,1.39684083708679e-16
"TECRL",2.92926803245546e-09,4.01602381911763,1,0.617,9.71843255127747e-05
"SLCO6A1",1.36281870758189e-18,4.0151609871183,1,0.596,4.52142362614444e-14
"LINC02532",3.50443695034832e-21,4.01341207791603,1,0.617,1.16266704701706e-16
"AC011306.1",2.87270077843795e-18,4.01165802915374,1,0.638,9.53075937262357e-14
"OR9Q1",2.39136753691375e-12,4.01108437259143,1,0.596,7.93384007721875e-08
"AL353072.2",8.86105346327391e-18,4.01019271855812,1,0.574,2.93983170751038e-13
"CNGB1",4.61402480061502e-18,4.00986637773861,1,0.66,1.53079500810004e-13
"AC128707.1",2.14886459939676e-11,4.00947874558256,0.75,0.511,7.12928808141864e-07
"AC005394.1",3.9166497586056e-15,4.00920166298043,1,0.553,1.29942689041258e-10
"UGT2B15",1.63601844073583e-13,4.00884937734749,1,0.532,5.42781838082927e-09
