"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SATL1",1.35993821999648e-10,3.86405078748172,1,0.475,4.51186703248233e-06
"FOXA3",2.99127363920315e-11,3.79751939070965,1,0.475,9.92414855278429e-07
"SLCO6A1",6.15605800616794e-07,3.78098910096536,1,0.475,0.0204239536470634
"AC114498.1",1.23348016026712e-06,3.75373169680183,1,0.375,0.0409231712771823
"RBPJL",1.47289640659781e-07,3.72557800911896,1,0.475,0.00488662840816956
"IGSF1",7.37356908116299e-12,3.68308823094479,1,0.575,2.44632901405745e-07
"CKM",2.76091409653231e-11,3.68099536489066,1,0.6,9.15988469806525e-07
"AL353784.1",3.73571928260952e-09,3.67668007304713,1,0.55,0.000123939958639136
"GADL1",9.80390828076983e-08,3.66112721865415,1,0.55,0.00325264265031101
"AC133634.1",8.72056278784993e-07,3.65511810863987,1,0.45,0.0289322111612497
"AL049649.1",3.94184694705627e-09,3.6435036781609,1,0.45,0.000130778656162486
"CR382287.2",5.12129227574059e-10,3.63963058217232,1,0.625,1.69909113832245e-05
"AC093912.1",1.48134599857661e-09,3.63392625971168,1,0.6,4.91466161947761e-05
"G6PC",8.00570496516038e-07,3.62665437882867,1,0.425,0.0265605273629126
"AP000561.1",3.39585744309225e-07,3.61900015849189,1,0.575,0.0112664362389472
"LINC01492",1.50975760518879e-10,3.61766192724193,1,0.6,5.00892280673485e-06
"AC003666.1",1.27069717687534e-07,3.61751177968199,1,0.5,0.00421579202371933
"SLCO1A2",2.69326737451445e-07,3.61296329717268,1,0.5,0.00893545316842658
"FUT9",2.73015022875366e-09,3.60925877074392,1,0.6,9.057819413936e-05
"MIR548XHG",1.45108638913532e-08,3.60712856916253,1,0.625,0.000481426931323427
"LINC00348",4.06902361820814e-07,3.60245848039496,1,0.55,0.0134997996581292
"GOLGA6L2",1.65652860125922e-07,3.59848301785681,1,0.425,0.00549586494039771
"AC022201.1",5.18305828517824e-08,3.59843431522694,1,0.425,0.00171958324727358
"CCER1",1.32153445641803e-06,3.59515029443173,1,0.375,0.043844548660581
"OR4N2",7.98055463518339e-12,3.58662119293687,1,0.5,2.64770861131479e-07
"AC126121.2",2.55722914099644e-07,3.58631653765211,1,0.375,0.00848411912108389
"AC106744.1",5.3169696545345e-09,3.58514880759368,1,0.475,0.000176401102228491
"AC091885.2",4.72050537047069e-10,3.580535435879,1,0.425,1.56612206676106e-05
"AC010511.1",1.78423256817576e-11,3.57902485889384,1,0.55,5.91954839143673e-07
"MUC19",4.69004167971583e-09,3.57821245069216,1,0.5,0.000155601512807932
"AC111198.1",8.4160554853701e-07,3.57425024741952,1,0.475,0.0279219472838124
"AP001993.1",6.6385703504677e-07,3.57363880318043,1,0.475,0.0220247848517467
"DAW1",1.35525653863863e-10,3.57340729108041,1,0.525,4.49633461824137e-06
"AC012594.1",2.22958242303358e-10,3.5633906712965,1,0.55,7.39708560489849e-06
"TEX15",1.47087929797926e-07,3.56247253073172,1,0.55,0.00487993624690578
"SPINK5",4.66287440811982e-07,3.56060386152318,1,0.5,0.0154700184238191
"AP003900.1",4.94672655747088e-08,3.56050643856359,1,0.5,0.00164117546997211
"AC005042.2",2.07113489744208e-08,3.55966897058665,1,0.475,0.00068714042492436
"AC090371.2",9.07471675106865e-08,3.55516397871245,1,0.525,0.00301071877650205
"PTPRZ1",6.65185406753861e-07,3.54840882905315,1,0.6,0.0220688562398728
"KCNU1",4.36064304180192e-14,3.54722654493495,1,0.7,1.44673054197862e-09
"TTR",2.37424357775966e-07,3.54561419428301,1,0.5,0.00787702791793322
"SLC51B",5.5355006860548e-07,3.54128382546507,1,0.475,0.018365130626124
"CHRNA6",3.00339739613334e-14,3.53873220711284,1,0.675,9.96437154115158e-10
"LINC00616",2.79955188615972e-07,3.53846737758489,1,0.525,0.00928807329271211
"NOX3",1.07094283985355e-09,3.53823809909543,1,0.525,3.55306705978211e-05
"AC099511.1",7.03938753892464e-11,3.53536582954446,1,0.45,2.33545760378903e-06
"LINC01179",6.54844737125534e-07,3.53395249662332,1,0.5,0.0217257838436138
"MIR4527HG",4.59887845272983e-10,3.5334930971371,1,0.65,1.52576990426218e-05
"LINC01778",9.34001220093363e-10,3.53171209114529,1,0.425,3.09873584790375e-05
"RS1",1.32583697434306e-10,3.52575252685939,1,0.575,4.39872932977797e-06
"AC012355.1",9.66261869933685e-08,3.52472207468134,1,0.55,0.00320576700587899
