"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","pct_diff"
"GZMH",1.012184104773e-62,4.42329604679453,0.234,0.015,3.35812320440537e-58,0.219
"AC243829.2",4.30006321101207e-75,3.45831887218046,0.363,0.065,1.42663197151747e-70,0.298
"AC139720.1",2.47820708033741e-40,-3.42989534452465,0.022,0.212,8.22194763043544e-36,-0.19
"DTHD1",9.014686979511e-57,3.14527870764989,0.309,0.061,2.99080269919236e-52,0.248
"CTSW",3.92944400307389e-34,2.99026239422497,0.215,0.052,1.30367163689983e-29,0.163
"TSHZ2",1.15952895510514e-44,-2.89411448355497,0.076,0.325,3.84696921435232e-40,-0.249
"NKG7",1.34898424053227e-37,2.81561406506053,0.22,0.04,4.4755250148139e-33,0.18
"GZMA",6.60949515253982e-37,2.73529387470853,0.26,0.073,2.19283220675813e-32,0.187
"LEF1",2.08031166768022e-93,-2.66254292531093,0.109,0.531,6.90185001986265e-89,-0.422
"AOAH",1.85109172903746e-152,2.4759317761377,0.781,0.317,6.14136702942757e-148,0.464
"SERINC5",3.11986122571553e-114,-2.3719021402288,0.216,0.68,1.03507635885564e-109,-0.464
"PTGDR",1.01616558366214e-40,2.35614137052633,0.316,0.108,3.37133255691587e-36,0.208
"TSPAN18",1.07558881358381e-30,-2.3272203369663,0.048,0.229,3.56848100682701e-26,-0.181
"DPP6",5.63848482096301e-26,-2.30234736213289,0.044,0.202,1.8706801090509e-21,-0.158
"KLRD1",3.4222643694076e-55,2.27361766642579,0.418,0.174,1.13540464983836e-50,0.244
"C1orf21",5.26482093984474e-28,2.17990181105641,0.257,0.105,1.74670964321229e-23,0.152
"KLRC4-KLRK1",3.95526406292988e-79,2.17471945539787,0.594,0.233,1.31223795815825e-74,0.361
"CCL5",5.76796108396017e-60,2.15498369710141,0.474,0.242,1.91363644882547e-55,0.232
"THOC3",3.98991408501327e-39,-2.14749473578254,0.078,0.314,1.32373379598485e-34,-0.236
"BTBD11",2.44232242026518e-43,-2.11575181749887,0.068,0.312,8.1028930937138e-39,-0.244
"TOX",6.89369694684173e-78,2.10075224664785,0.599,0.281,2.28712183605368e-73,0.318
"JAKMIP2",8.36192183323319e-27,2.06033493858158,0.27,0.109,2.77423480661178e-22,0.161
"IKZF2",1.37899040536872e-21,2.04987643980525,0.238,0.115,4.57507646789182e-17,0.123
"AC243829.1",9.81675640230296e-42,2.0498351118954,0.384,0.145,3.25690527159205e-37,0.239
