gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
DTHD1	4.66e-16	2.423	1	1	1.55e-11	0
TSHZ2	3.07e-13	-2.328	1	1	1.02e-8	0
KLRC3	9.73e-12	2.278	1	0.75	3.23e-7	0.25
AC139720.1	6.92e-10	-2.135	0.75	1	2.29e-5	-0.25
GNLY	4.65e-12	2.053	1	1	1.54e-7	0
KLRC4-KLRK1	1.38e-14	2.048	1	1	4.57e-10	0
CCL5	1.13e-10	1.959	1	1	3.75e-6	0
SERINC5	2.85e-10	-1.946	1	1	9.44e-6	0
CTSW	4.2e-9	1.914	1	1	1.39e-4	0
RBFOX1	3.42e-9	-1.891	1	1	1.13e-4	0
PYHIN1	4.65e-15	1.863	1	1	1.54e-10	0
BTBD11	5.06e-9	-1.782	1	1	1.68e-4	0
KCNQ1	3.18e-7	-1.696	0.75	1	0.011	-0.25
TOX	2.51e-9	1.682	1	1	8.34e-5	0
ACTN1	2.5e-7	-1.678	1	1	0.008	0
C1orf21	4.19e-10	1.676	1	1	1.39e-5	0
DPP6	7.29e-7	-1.652	1	1	0.024	0
C19orf84	3.68e-8	1.649	1	0.75	0.001	0.25
AC068775.1	1.14e-6	1.648	1	1	0.038	0
CALN1	6.48e-7	-1.615	1	1	0.021	0
RASGRF2	3.19e-8	-1.615	1	1	0.001	0
GZMK	6.09e-9	1.612	1	1	2.02e-4	0
DISC1	1.73e-7	-1.593	1	1	0.006	0
MSC-AS1	4.94e-9	1.585	1	1	1.64e-4	0
AC243829.1	4.38e-7	1.578	1	1	0.015	0
SLFN12L	1.08e-9	1.568	1	1	3.58e-5	0
PRF1	2.83e-8	1.553	1	1	9.4e-4	0
JAKMIP2	1.11e-7	1.522	1	1	0.004	0
TIAM1	2.33e-7	-1.509	1	1	0.008	0
THOC3	4.25e-7	-1.509	1	1	0.014	0
ADGRG5	7.66e-7	1.503	1	1	0.025	0
OSBPL5	2.63e-9	1.498	1	1	8.74e-5	0
RUNX3	8.53e-11	1.469	1	1	2.83e-6	0
ACER1	4.85e-7	-1.454	1	1	0.016	0
PRKCA	5.39e-8	-1.454	1	1	0.002	0
SAMD3	2.65e-11	1.445	1	1	8.8e-7	0
MIAT	7.58e-10	1.44	1	1	2.51e-5	0
FHIT	1.4e-6	-1.406	1	1	0.047	0
VAV3	7.68e-7	1.384	1	1	0.025	0
CST7	1.15e-6	1.379	1	0.75	0.038	0.25
CD244	4.26e-7	1.367	1	1	0.014	0
SYNE1	2.3e-10	1.324	1	1	7.63e-6	0
SYTL2	4.29e-7	1.268	1	1	0.014	0
ATP8A1	5.33e-7	1.256	1	1	0.018	0
MCTP2	1.43e-6	1.245	1	1	0.048	0
SFMBT1	6.53e-7	-1.167	1	1	0.022	0
CBLB	5.81e-8	1.121	1	1	0.002	0
PRKN	9.27e-7	-1.03	1	1	0.031	0
PIP4K2A	2.38e-7	1.019	1	1	0.008	0
