"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","pct_diff"
"GZMH",7.8866186320759e-116,4.92894692856822,0.254,0.011,2.61654346356382e-111,0.243
"AC243829.2",3.36663109166942e-160,4.34699871630515,0.402,0.043,1.11694719728316e-155,0.359
"DTHD1",1.481441709079e-120,3.77519241341603,0.339,0.039,4.9149791582114e-116,0.3
"AC139720.1",1.0030711932005e-50,-3.53054911090487,0.026,0.21,3.32788929768129e-46,-0.184
"LEF1",1.18461964513755e-170,-3.34150178890554,0.101,0.585,3.93021259667286e-166,-0.484
"NKG7",3.9498580963956e-65,3.26702116912987,0.213,0.028,1.31044442064117e-60,0.185
"SERINC5",1.60758917059069e-213,-2.97688926556215,0.207,0.73,5.33349859126873e-209,-0.523
"KLRD1",3.97912772641282e-127,2.91964753480028,0.457,0.116,1.32015520579198e-122,0.341
"AOAH",1.17672625656567e-265,2.76024254246505,0.802,0.257,3.90402470140792e-261,0.545
"TRABD2A",1.70557071885985e-61,-2.62616523726847,0.057,0.299,5.65857197396133e-57,-0.242
"C1orf21",2.20510971868739e-53,2.6122300560873,0.252,0.075,7.31589251368916e-49,0.177
"CTSW",2.46567257092223e-50,2.5775913093123,0.228,0.053,8.18036188854867e-46,0.175
"IL7R",5.73291988673604e-223,-2.55662354093369,0.176,0.747,1.90201083082242e-218,-0.571
"PTGDR",3.13590236982588e-69,2.53895018000896,0.317,0.089,1.04039832923713e-64,0.228
"PDGFD",4.39593853463784e-58,2.51570924810314,0.282,0.081,1.4584405276368e-53,0.201
"JAKMIP2",4.29951893208857e-67,2.51465714248102,0.311,0.081,1.42645139609903e-62,0.23
"GZMA",1.1081210502649e-50,2.48709286861741,0.252,0.069,3.67641320846385e-46,0.183
"NELL2",1.83856828197609e-68,-2.47853832318716,0.078,0.351,6.09981798911208e-64,-0.273
"AC243829.1",1.59205467298363e-83,2.37628604725046,0.396,0.108,5.2819597885578e-79,0.288
"BTBD11",2.76486713627682e-58,-2.37341517489981,0.058,0.293,9.17299969802559e-54,-0.235
"THOC3",6.18486172851142e-55,-2.3296490363419,0.077,0.314,2.05195157566823e-50,-0.237
"CCL5",9.83894425977177e-94,2.2809063576232,0.462,0.204,3.26426653706448e-89,0.258
"OSBPL5",1.13839098493646e-42,2.24981201688756,0.247,0.084,3.77683977072371e-38,0.163
"RASGRF2",2.46180952434862e-71,-2.20450285270856,0.088,0.378,8.1675454589314e-67,-0.29
"TOX",6.13427011635113e-135,2.1664589760637,0.634,0.244,2.03516679650181e-130,0.39
"BACH2",2.09808318649251e-122,-2.15990223884261,0.192,0.619,6.96081058782621e-118,-0.427
"ZEB2",1.0908995665811e-74,2.10484823035725,0.42,0.191,3.61927749204612e-70,0.229
"AC010260.1",3.56225161013558e-60,-2.09639699370744,0.091,0.353,1.18184821669468e-55,-0.262
"KLRC4-KLRK1",2.64688606236158e-121,2.07022775459826,0.613,0.223,8.78157388909701e-117,0.39
"CD4",1.06595812964802e-35,-2.06379829618237,0.044,0.202,3.53652928673322e-31,-0.158
"SH3RF3",1.95498619558133e-27,-2.01812397360394,0.089,0.243,6.48605770108019e-23,-0.154
"AL158071.3",1.33115259280094e-31,2.00368188258348,0.213,0.077,4.41636495713569e-27,0.136
"AC022075.1",2.61910244427389e-47,1.99179599268734,0.298,0.108,8.68939617936748e-43,0.19
"TIAM1",1.55000462204542e-28,-1.9776350034649,0.064,0.213,5.1424503345601e-24,-0.149
"TSHZ2",4.45829579755825e-26,-1.93463070339352,0.16,0.314,1.4791287967559e-21,-0.154
"MAN1C1",1.44113264824734e-37,-1.92676720334527,0.104,0.3,4.78124578709019e-33,-0.196
"VAV3",3.07186971736217e-77,1.90599829083751,0.47,0.205,1.01915421612925e-72,0.265
"IKZF2",2.97376031463527e-30,1.87115290019191,0.244,0.104,9.86604459586544e-26,0.14
"PYHIN1",2.3485747548532e-75,1.85896787206799,0.472,0.211,7.79186646417645e-71,0.261
"NDFIP1",1.362341638091e-51,-1.83577885918217,0.199,0.463,4.51984085269451e-47,-0.264
"CERS6",1.13030759031304e-33,-1.82663889304251,0.102,0.285,3.75002149238157e-29,-0.183
"C4orf50",5.34227956796195e-36,1.81593804199833,0.271,0.106,1.77240809226274e-31,0.165
"TSPAN18",2.80062455939725e-27,-1.80917369397087,0.065,0.211,9.29163210071225e-23,-0.146
"PRKCA",6.87839910572847e-129,-1.80841390123852,0.396,0.765,2.28204647130753e-124,-0.369
"KANK1",1.63006742871367e-22,-1.7933345391744,0.073,0.203,5.40807470824333e-18,-0.13
"RETREG1",4.57143349520155e-36,-1.79301552828775,0.1,0.292,1.51666449070302e-31,-0.192
"PPP2R2B",3.98042319796344e-69,1.76049799303765,0.478,0.235,1.32058500438833e-64,0.243
"LDLRAP1",3.05967775353956e-47,-1.75723371360941,0.131,0.373,1.01510928829182e-42,-0.242
"SAMD12",1.60263605786848e-34,-1.74829111489894,0.1,0.287,5.31706564919025e-30,-0.187
"DISC1",3.14460979647775e-37,-1.73937419115181,0.114,0.315,1.04328719217742e-32,-0.201
"ST6GALNAC3",1.95277892541568e-23,-1.73332000566924,0.104,0.248,6.4787346408516e-19,-0.144
"TXK",2.00602992631087e-84,-1.72900287363603,0.224,0.578,6.65540548652159e-80,-0.354
"AC008569.1",1.51572306241837e-25,1.72864645399076,0.21,0.097,5.02871440418544e-21,0.113
"CAMK4",3.92489763147141e-109,-1.72277613441982,0.282,0.681,1.30216328719327e-104,-0.399
"LPCAT1",1.39357584983648e-24,1.71718422865063,0.213,0.093,4.62346659700248e-20,0.12
"BIRC3",5.07771119047862e-24,-1.70855838324531,0.069,0.205,1.68463224166509e-19,-0.136
"PIK3AP1",1.58372223513867e-23,1.70317450232411,0.219,0.102,5.25431525951958e-19,0.117
"SAMD3",1.58406742888483e-109,1.68545033648162,0.648,0.335,5.2554605088112e-105,0.313
"TCF7",3.08015093994316e-52,-1.64944604797312,0.156,0.419,1.02190167734494e-47,-0.263
"MIAT",1.94943150202277e-28,1.64608109965057,0.257,0.122,6.46762889426096e-24,0.135
"TRG-AS1",1.50237121741697e-46,1.61636460718255,0.403,0.216,4.98441698802429e-42,0.187
"SPON2",1.02319932920906e-38,1.61609530205646,0.401,0.231,3.3946684145169e-34,0.17
"RUNX2",2.71389434070164e-66,-1.61346246736492,0.192,0.502,9.00388725414583e-62,-0.31
"SFMBT1",8.05627838706893e-47,-1.60636280734523,0.134,0.375,2.67283148047786e-42,-0.241
"UBE2E2",1.21497403322301e-21,-1.59534559424187,0.101,0.241,4.030919350024e-17,-0.14
"YPEL1",1.72146010734923e-37,1.58964653175456,0.333,0.158,5.71128819815253e-33,0.175
"GFOD1",1.69736033768597e-33,1.57001216770833,0.3,0.16,5.63133239234076e-29,0.14
"PSMA1",2.70987321926529e-33,-1.55812782956751,0.124,0.317,8.99054637955644e-29,-0.193
