"cell_type","group","total_cells","expressing_cells","percent_expressing","threshold_used","receptor"
"ZF","normal",23287,1784,7.66,0.838884386506747,"EPOR"
"ZR","normal",9962,722,7.25,0.838884386506747,"EPOR"
"Endo","normal",5835,402,6.89,0.838884386506747,"EPOR"
"Myeloid","normal",4583,297,6.48,0.838884386506747,"EPOR"
"Adipo","normal",31,2,6.45,0.838884386506747,"EPOR"
"PSC","normal",5289,340,6.43,0.838884386506747,"EPOR"
"ZG","normal",5518,353,6.4,0.838884386506747,"EPOR"
"Plasma","normal",47,3,6.38,0.838884386506747,"EPOR"
"Myeloid","tumor",5068,287,5.66,0.838884386506747,"EPOR"
"CLC","normal",464,25,5.39,0.838884386506747,"EPOR"
"Fib","normal",2354,105,4.46,0.838884386506747,"EPOR"
"Endo","tumor",1318,54,4.1,0.838884386506747,"EPOR"
"LEC","normal",544,20,3.68,0.838884386506747,"EPOR"
"Tcell","normal",880,30,3.41,0.838884386506747,"EPOR"
"Fib","tumor",2439,65,2.67,0.838884386506747,"EPOR"
"Neural-like","tumor",2452,61,2.49,0.838884386506747,"EPOR"
"Adipo","tumor",2403,43,1.79,0.838884386506747,"EPOR"
"Plasma","tumor",581,9,1.55,0.838884386506747,"EPOR"
"Bcell","tumor",4120,52,1.26,0.838884386506747,"EPOR"
"Tcell","tumor",7400,82,1.11,0.838884386506747,"EPOR"
"ZR","normal",9962,1188,11.93,0.915793022542979,"MC2R"
"ZG","normal",5518,612,11.09,0.915793022542979,"MC2R"
"ZF","normal",23287,2505,10.76,0.915793022542979,"MC2R"
"Adipo","normal",31,2,6.45,0.915793022542979,"MC2R"
"LEC","normal",544,20,3.68,0.915793022542979,"MC2R"
"CLC","normal",464,16,3.45,0.915793022542979,"MC2R"
"Tcell","normal",880,25,2.84,0.915793022542979,"MC2R"
"Myeloid","normal",4583,111,2.42,0.915793022542979,"MC2R"
"Fib","normal",2354,53,2.25,0.915793022542979,"MC2R"
"PSC","normal",5289,116,2.19,0.915793022542979,"MC2R"
"Plasma","normal",47,1,2.13,0.915793022542979,"MC2R"
"Endo","normal",5835,112,1.92,0.915793022542979,"MC2R"
"Neural-like","tumor",2452,27,1.1,0.915793022542979,"MC2R"
"Bcell","tumor",4120,11,0.27,0.915793022542979,"MC2R"
"Myeloid","tumor",5068,7,0.14,0.915793022542979,"MC2R"
"Fib","tumor",2439,3,0.12,0.915793022542979,"MC2R"
"Tcell","tumor",7400,6,0.08,0.915793022542979,"MC2R"
"Adipo","tumor",2403,1,0.04,0.915793022542979,"MC2R"
"Endo","tumor",1318,0,0,0.915793022542979,"MC2R"
"Plasma","tumor",581,0,0,0.915793022542979,"MC2R"
