gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff	cell_type
ZFPM2	0	-5.785429814468522	0.116	0.87	0	-0.754	Fib
PPARG	0	5.624734413220322	0.799	0.061	0	0.738	Fib
CXCL12	0	6.076572451286167	0.752	0.047	0	0.705	Fib
ANGPT1	0	5.317454214232525	0.766	0.077	0	0.6890000000000001	Fib
CYP17A1	0	-8.792146989760045	0.004	0.683	0	-0.679	Fib
TNXB	0	-4.731352426923423	0.077	0.755	0	-0.678	Fib
MEIS1	0	-3.772297264693203	0.144	0.815	0	-0.6709999999999999	Fib
EBF3	0	5.001939298800796	0.733	0.064	0	0.669	Fib
KIAA1217	0	-5.500799556028322	0.183	0.85	0	-0.667	Fib
CYP11B1	0	-11.891469987449295	0.001	0.656	0	-0.655	Fib
LEPR	0	4.242817911038958	0.875	0.224	0	0.651	Fib
TSHZ2	0	-3.1631274602302217	0.235	0.862	0	-0.627	Fib
LSAMP	0	-5.25892969552581	0.114	0.72	0	-0.606	Fib
MEIS2	0	-3.357388711935215	0.25	0.855	0	-0.605	Fib
NR2F1-AS1	0	-3.449621774066795	0.185	0.771	0	-0.5860000000000001	Fib
DCN	0	-2.8993540686430093	0.216	0.801	0	-0.5850000000000001	Fib
RIMS2	0	-5.075777737022899	0.063	0.644	0	-0.581	Fib
ZBTB7C	0	-4.414407411998647	0.099	0.679	0	-0.5800000000000001	Fib
RSPO3	0	-5.864156918884612	0.023	0.603	0	-0.58	Fib
AL109930.1	0	-3.992846600484898	0.105	0.684	0	-0.5790000000000001	Fib
PAPPA	0	3.847203305651205	0.712	0.136	0	0.576	Fib
EYA1	0	6.569818369057638	0.584	0.018	0	0.566	Fib
IGFBP6	0	-5.693260586107169	0.04	0.601	0	-0.5609999999999999	Fib
SCARB1	0	-3.9930045462474304	0.104	0.659	0	-0.555	Fib
ABCC3	0	-4.21414084711928	0.09	0.642	0	-0.552	Fib
PRKG1	0	-2.5438398162905473	0.356	0.902	0	-0.546	Fib
MT-CO1	0	-2.635914301219796	0.349	0.888	0	-0.539	Fib
AC092691.1	0	-6.406197265272292	0.027	0.565	0	-0.5379999999999999	Fib
RUNX1	0	4.168975233352667	0.752	0.218	0	0.534	Fib
NCKAP5	0	4.1234895839316295	0.642	0.111	0	0.531	Fib
FBLN1	0	-2.8092252923423082	0.216	0.745	0	-0.529	Fib
MEG3	0	-2.334722766062325	0.184	0.712	0	-0.528	Fib
ITGA9	0	-3.2025213436893205	0.196	0.722	0	-0.526	Fib
GML	0	-6.538354410896846	0.012	0.532	0	-0.52	Fib
SLIT2	0	-3.07237509863056	0.162	0.679	0	-0.517	Fib
MT-CO3	0	-2.455191706361004	0.266	0.775	0	-0.509	Fib
CNTNAP2	0	4.102969156343902	0.659	0.159	0	0.5	Fib
UST	0	-2.980424960315767	0.203	0.7	0	-0.49699999999999994	Fib
FOXP2	0	-4.786307468908532	0.054	0.55	0	-0.49600000000000005	Fib
PDE1C	0	4.488598943555708	0.549	0.053	0	0.49600000000000005	Fib
GREB1	0	-5.104940907125085	0.043	0.537	0	-0.49400000000000005	Fib
MICAL2	0	-4.116348577669048	0.086	0.579	0	-0.493	Fib
EDIL3	0	4.4065066255964584	0.547	0.055	0	0.49200000000000005	Fib
NR2F1	0	-5.222838652471366	0.03	0.52	0	-0.49	Fib
EPS8	0	3.0689531080452244	0.694	0.205	0	0.489	Fib
MYO6	0	3.4880813020738897	0.678	0.19	0	0.48800000000000004	Fib
ADAMTSL3	0	-3.6091628960352367	0.141	0.629	0	-0.488	Fib
CHSY3	0	3.9440026558818944	0.575	0.088	0	0.487	Fib
CACNA1D	0	-3.5856629669321816	0.113	0.593	0	-0.48	Fib
ABLIM1	0	-2.813095613707153	0.19	0.669	0	-0.47900000000000004	Fib
VCAN	0	3.9343033479388767	0.648	0.177	0	0.47100000000000003	Fib
ARHGEF28	0	-3.8943525540059944	0.097	0.568	0	-0.471	Fib
IGKC	0	5.364253864392996	0.492	0.022	0	0.47	Fib
MSI2	0	-2.49721023105686	0.279	0.736	0	-0.45699999999999996	Fib
USP53	0	-3.012540230993614	0.332	0.768	0	-0.436	Fib
BNC2	0	-1.9902362777101112	0.421	0.853	0	-0.432	Fib
EBF1	0	2.4462736528685465	0.912	0.494	0	0.41800000000000004	Fib
AFF3	0	-2.7566808559378284	0.402	0.778	0	-0.376	Fib
PEAK1	0	2.27243993621493	0.746	0.41	0	0.336	Fib
DLC1	0	2.387896895289697	0.875	0.561	0	0.31399999999999995	Fib
KAZN	0	1.9486564118567427	0.854	0.561	0	0.2929999999999999	Fib
RALYL	2e-323	-4.422483885946128	0.064	0.516	6.55665e-319	-0.452	Fib
TRABD2B	4.45e-322	4.091529869619741	0.551	0.072	1.4752454e-317	0.47900000000000004	Fib
LPL	1.446e-320	7.076531734031106	0.417	0.007	4.797826e-316	0.41	Fib
SORBS1	1.63966e-319	-2.6223420427588735	0.283	0.709	5.43988558e-315	-0.426	Fib
ANK3	2.03234e-319	3.2805131068916453	0.628	0.146	6.742691214e-315	0.482	Fib
ITGBL1	4.621515e-318	3.2114659745506633	0.677	0.2	1.5332799501e-313	0.47700000000000004	Fib
TFPI	1.760636e-317	3.7900885871996315	0.564	0.089	5.8412621612e-313	0.475	Fib
WDR63	1.8408601987038362e-305	-4.253085698613681	0.054	0.487	6.1074218812397175e-301	-0.433	Fib
RAPGEF5	4.028445068811681e-305	-4.781696563901952	0.05	0.468	1.3365172204796514e-300	-0.41800000000000004	Fib
PAK3	2.2276003181572404e-304	-5.710571300491964	0.023	0.435	7.390509575550276e-300	-0.412	Fib
MRPS6	3.855942476299121e-304	3.622253135835719	0.605	0.156	1.2792860353617595e-299	0.44899999999999995	Fib
ST3GAL5	3.516463275106846e-301	-3.611208873761423	0.081	0.522	1.1666570207821983e-296	-0.441	Fib
VCAM1	4.107379261027479e-301	5.058332839984548	0.465	0.033	1.3627052174310868e-296	0.43200000000000005	Fib
NRXN3	1.5853409448995633e-300	4.313379455410782	0.535	0.084	5.259685652893281e-296	0.451	Fib
CDH23	5.59899038345361e-296	-3.4390093135027184	0.12	0.543	1.857577039518404e-291	-0.42300000000000004	Fib
C7	9.475740998531889e-295	-2.9095104992528786	0.232	0.705	3.1437665910829246e-290	-0.473	Fib
MT-ATP6	2.0842898024293e-292	-2.2754973749269958	0.246	0.709	6.915048277519689e-288	-0.46299999999999997	Fib
PCDH15	2.952881057612899e-292	-3.572466930462931	0.114	0.555	9.796773484842315e-288	-0.44100000000000006	Fib
GRAMD1B	7.477496752397244e-292	-3.1980172961540974	0.113	0.556	2.4808090975428334e-287	-0.44300000000000006	Fib
HIF3A	3.0077828970594725e-288	-2.5694829386717117	0.173	0.644	9.978921317574213e-284	-0.47100000000000003	Fib
CALN1	1.439647500699579e-287	-2.969716710699041	0.164	0.614	4.776318513070992e-283	-0.44999999999999996	Fib
RASSF2	2.2621193999529726e-286	-4.483049840623508	0.05	0.459	7.505033533223977e-282	-0.40900000000000003	Fib
SYNE1	2.799345173206439e-285	-2.0538995682392507	0.393	0.784	9.287387481147003e-281	-0.391	Fib
PDE4D	2.1612425275935497e-281	3.4602550743517444	0.556	0.102	7.17035433379712e-277	0.45400000000000007	Fib
TENM3	2.2060701830413642e-281	-3.373201366517657	0.1	0.529	7.319079046276334e-277	-0.42900000000000005	Fib
PDZRN4	6.782772536517385e-280	2.2050985990349794	0.793	0.365	2.250320444440373e-275	0.42800000000000005	Fib
LINC01088	2.2486675115975395e-273	-2.9964305810416856	0.205	0.611	7.460404203227157e-269	-0.406	Fib
DCLK1	3.7435249974975243e-267	2.331630220012282	0.699	0.214	1.2419892884197537e-262	0.485	Fib
TNS1	1.7998065627282755e-266	-2.004492222228209	0.322	0.719	5.9712182331636e-262	-0.39699999999999996	Fib
KLF5	2.407442298678796e-264	-6.175342051380865	0.01	0.366	7.987171314326642e-260	-0.356	Fib
PDE5A	1.9237088333563636e-260	-2.6828371898451593	0.204	0.609	6.382288796426407e-256	-0.405	Fib
TSIX	6.2050322289666144e-260	-2.7007104856665416	0.071	0.509	2.0586435426042537e-255	-0.438	Fib
MAML2	1.3262439758365162e-258	1.4731680118442831	0.853	0.678	4.40007963863281e-254	0.17499999999999993	Fib
TMTC1	2.0302843445579232e-258	-2.1205526099331546	0.423	0.771	6.735874369939822e-254	-0.34800000000000003	Fib
COL11A1	5.125721761686792e-257	5.04326695679202	0.399	0.024	1.7005607088748272e-252	0.375	Fib
FADS2	1.866113011714662e-254	-3.8219768669456653	0.053	0.449	6.191203138965734e-250	-0.396	Fib
TJP1	9.611817194045881e-254	-2.389954039260072	0.256	0.638	3.188912590468602e-249	-0.382	Fib
CP	2.5362381279036155e-253	4.240880544509551	0.445	0.046	8.414477236945825e-249	0.399	Fib
ZNF385D	3.1012048049040612e-251	-4.809924645599397	0.079	0.416	1.0288867181230204e-246	-0.33699999999999997	Fib
SHISA6	9.896621033728715e-250	-3.4292384828324325	0.1	0.485	3.2834019603601758e-245	-0.385	Fib
ADAMTS2	1.522347573308442e-249	2.629989610464114	0.628	0.2	5.050692543965418e-245	0.428	Fib
MT-CO2	2.3098264990327483e-249	-1.902255764840762	0.329	0.751	7.663311375840949e-245	-0.422	Fib
NOV	1.4405406608507e-242	-6.324088573666035	0.007	0.338	4.779281750504368e-238	-0.331	Fib
DOCK5	2.0525375548523548e-240	-2.0736538788760033	0.356	0.689	6.809703845733657e-236	-0.33299999999999996	Fib
MAML3	1.4082543329599293e-236	-2.428914471853883	0.202	0.595	4.6721654004611575e-232	-0.39299999999999996	Fib
DYNC1I1	1.589131910010574e-235	3.2267792344551665	0.501	0.092	5.272262937842082e-231	0.40900000000000003	Fib
MEIS1-AS2	7.291889977890387e-233	-6.672516618095638	0.01	0.329	2.419230337964694e-228	-0.319	Fib
COL12A1	8.848054819457064e-232	-2.5592986306654253	0.22	0.606	2.93551914745127e-227	-0.386	Fib
MT-CYB	6.23288629709683e-231	-1.9826062633969048	0.282	0.684	2.0678846867878154e-226	-0.4020000000000001	Fib
MT-ND4	2.9394960476187925e-230	-1.9082115857720505	0.314	0.704	9.752366037184868e-226	-0.38999999999999996	Fib
