gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff	cell_type
C7	5.306266168900925e-116	-4.800964355714557	0.14	0.955	1.7604599268562598e-111	-0.815	PSC
DCLK1	7.540795460755404e-109	5.167714273245856	0.675	0.105	2.5018097100148202e-104	0.5700000000000001	PSC
LAMA2	2.5736074119391584e-105	-4.419925556005509	0.158	0.945	8.538457310590545e-101	-0.7869999999999999	PSC
LEPR	1.3400855937335947e-98	4.4446406731087365	0.544	0.144	4.4460019743299473e-94	0.4	PSC
MEG3	3.2096142386317336e-77	-3.6179878282899804	0.079	0.868	1.0648537159508503e-72	-0.789	PSC
CYP11B1	1.1961132673893185e-71	-9.555444348567645	0	0.765	3.968344987217542e-67	-0.765	PSC
CYP17A1	1.0266306931363567e-70	-9.248603435426404	0	0.76	3.4060526506184907e-66	-0.76	PSC
FP236383.1	1.6868489899273246e-70	3.25041213684255	0.447	0.357	5.596458893881885e-66	0.09000000000000002	PSC
ZFPM2	1.3466398133843333e-68	-4.145932332932428	0.096	0.836	4.4677469088652026e-64	-0.74	PSC
LSAMP	1.4049623389928027e-68	-6.0329867160357065	0.053	0.805	4.6612435520764216e-64	-0.752	PSC
TSHZ2	6.794443580444771e-68	-2.9823299795415625	0.175	0.891	2.2541925466841617e-63	-0.716	PSC
DCN	1.0056404185923259e-67	-8.536100865457243	0.009	0.761	3.3364132167637596e-63	-0.752	PSC
PRKCH	4.737810453004875e-67	3.606291047874429	0.535	0.174	1.5718633739934275e-62	0.36100000000000004	PSC
MEIS1	7.782962778790805e-67	-3.7028204221240424	0.123	0.849	2.5821535611194254e-62	-0.726	PSC
NCKAP5	1.3996206530512229e-64	2.976769072419377	0.623	0.322	4.643521440628042e-60	0.301	PSC
SCARB1	3.646979646841478e-62	-4.108679714813487	0.061	0.795	1.209958437432597e-57	-0.734	PSC
CHSY3	5.637539536830962e-62	3.045574144373075	0.57	0.281	1.8703664921344084e-57	0.2889999999999999	PSC
PTH1R	1.7911508871157867e-61	-3.9750757803138415	0.14	0.831	5.942501298184046e-57	-0.691	PSC
MT-CO1	2.0148941979048231e-60	-2.4223866770307954	0.237	0.897	6.684814480388832e-56	-0.66	PSC
RUNX1	4.326336510879767e-59	2.673905738161455	0.544	0.329	1.4353486642145804e-54	0.21500000000000002	PSC
ARHGAP6	4.395737801018993e-59	3.601361671551813	0.649	0.156	1.458373930244071e-54	0.493	PSC
EBF3	2.270738047607575e-58	4.963391909760652	0.482	0.065	7.533627620547651e-54	0.417	PSC
PPARG	4.748875905792481e-58	2.690940531662178	0.588	0.329	1.5755345592647714e-53	0.25899999999999995	PSC
PEAK1	4.802419531900812e-58	2.216277108389809	0.658	0.455	1.5932987280987324e-53	0.203	PSC
NFASC	5.118906030889901e-58	-3.0280588560291513	0.149	0.837	1.6982994538683424e-53	-0.688	PSC
DLC1	1.5286329744856419e-56	1.8030182689077208	0.833	0.832	5.071545619451014e-52	0.0010000000000000009	PSC
ADAMTSL2	2.4244187029846305e-56	-6.733936240048665	0.018	0.713	8.04349393089211e-52	-0.695	PSC
FRMD4A	4.666870666719289e-56	2.2711848276148934	0.684	0.457	1.5483276810974585e-51	0.22700000000000004	PSC
SLIT2	7.13916103066744e-55	-3.2446138372860474	0.132	0.817	2.368559455144537e-50	-0.6849999999999999	PSC
GML	1.5320030091972238e-53	-7.800978857083766	0.009	0.674	5.0827263836136296e-49	-0.665	PSC
PLCXD3	1.612418688780692e-52	-7.259234235862232	0.018	0.685	5.3495214837677015e-48	-0.667	PSC
NRXN3	4.844774356590432e-52	4.53400442477353	0.404	0.08	1.6073507882860075e-47	0.324	PSC
AC058822.1	4.763644201094544e-51	-3.404467533516228	0.132	0.787	1.5804342365971369e-46	-0.655	PSC
ADAMTSL3	1.3309291589016625e-50	-4.31544024342023	0.053	0.723	4.415623670488045e-46	-0.6699999999999999	PSC
KIAA1217	4.0979377568411793e-50	-3.476607543036555	0.114	0.775	1.359572809587198e-45	-0.661	PSC
PICALM	8.7044487747664e-49	1.8251351689235547	0.719	0.634	2.8878749700042487e-44	0.08499999999999996	PSC
EBF1	7.984945222463506e-48	1.6677493920445734	0.798	0.723	2.649165276456717e-43	0.07500000000000007	PSC
MT-CO3	2.4978769885796504e-47	-2.456061430139848	0.158	0.803	8.287206485010706e-43	-0.645	PSC
TRERF1	5.9511589080673e-47	-2.759264086106493	0.237	0.842	1.9744159909294883e-42	-0.605	PSC
ABCC3	9.734868717094938e-47	-5.045727477020966	0.035	0.672	3.229737394270588e-42	-0.637	PSC
AC098650.1	3.1735120726661814e-46	-1.6185147436481042	0.684	0.969	1.052876100348459e-41	-0.2849999999999999	PSC
SOX5	1.2653457240773872e-45	2.0612698508814566	0.702	0.541	4.1980375087715476e-41	0.16099999999999992	PSC
PDE4D	1.9121019234617708e-45	3.177406273922725	0.518	0.218	6.343780551469117e-41	0.30000000000000004	PSC
SEMA5A	2.2805805525167048e-45	3.0048449420233325	0.561	0.221	7.566282099084671e-41	0.3400000000000001	PSC
SH3RF1	4.0730781432295254e-45	2.3740132532635454	0.421	0.308	1.3513251355792597e-40	0.11299999999999999	PSC
