gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CYP11B1	0	-11.937475436112713	0.001	0.732	0
SULT1E1	6.11913177124278e-104	-10.148984256713875	0	0.11	2.030144347745217e-99
CYP17A1	0	-9.021534991912517	0.004	0.741	0
MUM1L1	5.411075631467895e-254	-8.406013561440949	0.003	0.266	1.7952325622521035e-249
STAR	0	-8.127173575493458	0.002	0.345	0
DLK1	4.5398938064152954e-176	-7.851053131274423	0.001	0.189	1.5062005681544025e-171
CBLN4	8.72328869173559e-160	-7.840805960790905	0.001	0.173	2.8941254892571165e-155
HSD3B2	0	-7.676083440038707	0.002	0.358	0
CYP21A2	0	-7.483809886743961	0.002	0.329	0
EYA1	0	7.456192768665147	0.569	0.011	0
PTX3	2.5885613616769082e-269	7.3987429980327	0.204	0.003	8.588070029635478e-265
IGHM	1.8500759636884376e-198	7.321822752781312	0.147	0.001	6.13799702472913e-194
LINC02388	0	-7.290364824217671	0.023	0.406	0
ADAMTSL2	0	-7.253591034814473	0.011	0.573	0
SCN7A	2.6305090068082044e-274	-7.020002875129872	0.007	0.294	8.72723973188758e-270
GSTA1	7.5147896862600615e-205	-6.992230011954725	0.002	0.22	2.4931817742105007e-200
FCRL1	8.0052681385053905e-174	6.792142932333414	0.134	0.002	2.6559078103119334e-169
GML	0	-6.778413380666585	0.012	0.633	0
IGHA1	4.80919705534e-313	6.77110662486061	0.24	0.005	1.595547307050645e-308
ATP1A2	2.9087128407865406e-253	6.721223821343982	0.193	0.003	9.650236591877506e-249
LMO7DN	2.0654266093983264e-163	6.5026361521817355	0.123	0.001	6.852465862000828e-159
COL11A1	0	6.493348513530904	0.391	0.016	0
IGHG4	4.689286723349914e-155	6.440163276782188	0.123	0.002	1.5557646562058012e-150
ZIC1	3.8897302355965297e-256	6.396185966294025	0.193	0.003	1.2904958002638607e-251
AC092691.1	0	-6.382167781824827	0.025	0.603	0
MEIS1-AS2	3.6113787710251804e-302	-6.228289572286656	0.011	0.328	1.198147134863024e-297
NOV	1.19e-321	-6.070616694778641	0.007	0.339	3.9503794e-317
LINC00968	1.2684677846237524e-192	5.961831615555296	0.159	0.004	4.2083955690462233e-188
SLC19A3	1.1491028173251818e-234	5.930032237586188	0.194	0.006	3.8123784170397556e-230
TBX15	5e-324	5.887016014743913	0.257	0.007	1.63916e-319
HHIP	6.803687506616293e-301	-5.645148511241471	0.017	0.341	2.2572594040700875e-296
LPL	0	5.597748875382534	0.409	0.016	0
AC139491.7	1.09120172647205e-310	-5.5920004178983955	0.018	0.353	3.6202799679163115e-306
RSPO1	0	5.5067986979689785	0.344	0.013	0
IGHG1	4.479358858553795e-230	5.491539839771789	0.196	0.007	1.4861168885023927e-225
BLK	6.012411384277828e-142	5.455689120459612	0.123	0.004	1.994737724961855e-137
GUCY1A2	0	-5.44818403231444	0.033	0.504	0
NR5A1	4.4706423530438844e-96	-5.444822609889273	0.004	0.12	1.4832250134693696e-91
CD34	4.495160079818247e-118	-5.429828881191715	0.006	0.148	1.4913592596812998e-113
RBP1	5.7381648969637985e-102	-5.363218575510113	0.004	0.126	1.9037509678656795e-97
LSAMP	0	-5.348520949307932	0.109	0.811	0
MCOLN3	9.232394965400254e-163	-5.318193039725316	0.005	0.191	3.063031677670842e-158
ZNF365	5.79981157017967e-160	5.265797132944089	0.152	0.009	1.9242034846385092e-155
TNFAIP6	2.376120230900711e-117	5.2543967197274775	0.104	0.004	7.883254090059289e-113
IGKC	0	5.237141799140408	0.489	0.027	0
ZFPM2	0	-5.206776460271445	0.115	0.869	0
IL7R	1.3190210219070719e-178	5.206608161865713	0.152	0.005	4.3761160443810925e-174
DCDC1	0	5.205155842683879	0.333	0.036	0
EBF3	0	5.176201158844441	0.722	0.067	0
RXFP1	0	-5.146186157238203	0.05	0.485	0
P2RX5-TAX1BP3	1.1290064956537225e-119	5.1070102348428446	0.107	0.004	3.745704850630355e-115
AP000757.1	6.527174346524115e-82	-5.094078528596968	0.003	0.103	2.1655206329463054e-77
DACH1	0	-5.091751024606465	0.049	0.529	0
NRXN3	0	5.056288129906159	0.527	0.071	0
LEPR	0	5.0443591427289975	0.868	0.175	0
AC091806.1	5.451602612732242e-78	-5.031006243076866	0.005	0.102	1.808678198826176e-73
AC099066.2	0	5.004968482768765	0.326	0.025	0
LGI4	0	4.981974620001326	0.299	0.015	0
SIX1	8.0479525316906745e-115	4.974160046182719	0.102	0.004	2.670069211439015e-110
GDF7	5.972630774786834e-291	4.9731804327646225	0.26	0.013	1.981539712151028e-286
IGHG3	9.366736487735966e-213	4.971701308132467	0.207	0.015	3.1076021645361615e-208
PAK3	5.995565000651629e-241	-4.966460108539437	0.021	0.3	1.989148600266191e-236
WFDC1	1.3428116792754375e-239	-4.934906809711169	0.018	0.293	4.4550463083321185e-235
AL356479.1	1.975601960179552e-135	4.924610059858909	0.133	0.008	6.554454623287699e-131
SULT2A1	2.867802265752649e-180	-4.916604503212371	0.011	0.225	9.514507577087565e-176
NR2F1	0	-4.915002075339794	0.031	0.51	0
RAPGEF5	0	-4.876380269676353	0.048	0.56	0
FLVCR2	0	-4.871315117193566	0.068	0.612	0
CYP11A1	3.43050568420085e-299	-4.870283254904797	0.02	0.348	1.138138870847316e-294
AQP7	3.545159595043452e-166	4.867078344024658	0.152	0.007	1.1761775988475661e-161
TRARG1	1.5704498298970524e-116	4.827266773584218	0.108	0.005	5.21028140064945e-112
NRK	4.211128427409933e-124	-4.816938822110461	0.005	0.153	1.3971260783617936e-119
AC020637.1	1.4989772898806805e-233	-4.800071951739193	0.04	0.315	4.973156954637134e-229
AGMO	4.72339857292458e-279	4.798776702223954	0.264	0.018	1.5670819445391877e-274
OSR2	3.4396576200493877e-184	4.7972251907561185	0.187	0.014	1.1411752086037854e-179
VEGFC	0	4.791805101049239	0.326	0.033	0
COL4A4	0	-4.769976336297492	0.052	0.529	0
ALS2CL	2.5277693731061203e-93	-4.7648139488854415	0.008	0.127	8.386380449154176e-89
KLF5	2.6258808085600767e-130	-4.7472725211913485	0.011	0.172	8.711884758559766e-126
RIMS2	0	-4.703256152958533	0.061	0.637	0
KLHL4	3.942434855256555e-114	-4.677475700461137	0.013	0.158	1.3079816119284673e-109
AL691420.1	4.760743788995857e-239	4.671064480548462	0.237	0.017	1.5794719668751556e-234
VCAM1	0	4.670323414655231	0.457	0.057	0
KCNIP1	9.356938585380485e-255	-4.658490520375931	0.055	0.358	3.104351514471683e-250
KIAA1217	0	-4.644426308897598	0.179	0.827	0
AC025627.1	2.2662954111542333e-180	-4.6400858393606486	0.014	0.233	7.5188882855864e-176
MFAP5	3.783793766994634e-86	-4.626997518957559	0.019	0.13	1.2553492580758098e-81
IKZF3	4.676368474668833e-189	4.62645367056158	0.184	0.011	1.5514787688408785e-184
IGLC2	4.894960143337585e-179	4.613700506418729	0.172	0.009	1.6240009267551104e-174
MOXD1	1.2854391590960112e-225	-4.601842880623018	0.021	0.29	4.2647014981328365e-221
POU6F2	0	4.588364112398117	0.322	0.029	0
FABP4	8.97028318861488e-148	4.569020907239678	0.15	0.01	2.976070853486759e-143
AC124854.1	6.309688514137357e-135	-4.5371095845519704	0.018	0.19	2.093365358335351e-130
RSPO3	3.8979996046085786e-205	-4.505814887596465	0.023	0.275	1.2932393288209882e-200
ANGPT4	2.7358460590087417e-227	4.491743352336948	0.223	0.015	9.076716469973303e-223
PRPS2	1.2712421381916662e-137	-4.476747053962875	0.029	0.219	4.217600041878491e-133
CRNDE	5.914943916949974e-169	4.472614242992409	0.166	0.01	1.9624009433264928e-164
FOXP2	0	-4.472320450031074	0.052	0.457	0
FAM153B	1.3032490118484015e-188	-4.4617619362387995	0.027	0.263	4.3237892466094414e-184
LINC00290	1.0438631452343172e-205	-4.4546925492328375	0.016	0.262	3.463224756943894e-201
IGFBP6	1.1977602638183223e-235	-4.451235926094498	0.04	0.338	3.973809227270048e-231
