gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
LINC02388	1.534863560012249e-42	-5.389479123828043	1	1	5.092216833052639e-38
LSAMP	2.1957079588176354e-46	-4.945689311150217	1	1	7.284700294969269e-42
ADAMTSL2	1.4366524823892856e-58	-4.820755178752933	1	1	4.7663819408229326e-54
EYA1	5.422788488100379e-65	4.741788058373688	1	1	1.7991185366970628e-60
CYP11B1	3.4858102123164216e-42	-4.718068955511142	0.25	1	1.1564872541402192e-37
LEPR	1.1510211967743676e-68	4.68886979142016	1	1	3.8187430245383195e-64
EBF3	6.356352616683832e-29	4.510696222726363	1	1	2.108847107637195e-24
CYP17A1	1.0120887561416744e-56	-4.479664543673298	0.5	1	3.357806866251233e-52
ZFPM2	2.393014751988666e-48	-4.392716422487544	1	1	7.939305042672798e-44
AC092691.1	4.8772461500135196e-74	-4.315407230567741	1	1	1.6181239551899853e-69
NRXN3	5.57172029074545e-25	4.25992597338111	1	1	1.848529640860618e-20
CNTNAP2	4.2578043224361005e-19	4.235494731249041	1	1	1.412611740054625e-14
KIAA1217	5.571546327530866e-50	-4.22304883340709	1	1	1.8484719250849153e-45
PTH1R	1.9413053169592413e-36	-4.195054146314325	1	1	6.440668650075674e-32
C7	8.509027631866017e-30	-4.15027915781241	1	1	2.8230400974241884e-25
DCLK1	4.756794414274048e-10	4.006580915953839	1	1	1.578161682823701e-5
DGKG	1.4667607271567157e-11	-4.0038359323528505	1	1	4.866272064487836e-7
FLVCR2	8.418002204880092e-47	-3.9828513863149566	1	1	2.792840591513068e-42
RXFP1	1.3041060244044452e-36	-3.9045447914327154	1	1	4.326632557166628e-32
COL4A4	6.9701126231651404e-46	-3.8907847053701934	1	1	2.3124742649874987e-41
GML	4.235547373576024e-65	-3.8726068615907367	0.75	1	1.4052275521313176e-60
GUCY1A2	3.5149362944635725e-74	-3.7751225740061587	1	1	1.1661504144141795e-69
IGKC	9.469305561412053e-7	3.7609349133708525	1	0.75	0.03141631506109677
RAPGEF5	3.120796701849183e-63	-3.731420346739081	1	1	1.0353867217725035e-58
COL11A1	1.840215282173955e-21	3.659507774294786	1	1	6.10528224166853e-17
SCN7A	3.977775780255778e-18	-3.6514464288761186	0.5	1	1.3197066706154595e-13
PDZRN4	7.305249016898453e-21	3.6481136125048574	1	1	2.4236624663364e-16
DACH1	1.5465796464412298e-37	-3.5812277359848848	1	1	5.131087292998068e-33
AC139491.7	3.546967293861904e-15	-3.5751719993607214	0.75	1	1.1767773390845639e-10
ZBTB7C	2.3291647289445013e-46	-3.5728871130656312	1	1	7.727469821219173e-42
ITGBL1	1.8533486657456826e-7	3.5607907580383515	1	1	0.0061488548683444515
SCARB1	1.623163632859811e-32	-3.549947595337645	1	1	5.385169984738995e-28
CXCL12	1.9574542136029367e-17	3.5030848409203177	1	1	6.494245844470463e-13
HHIP	7.495314266356113e-40	-3.499896068778561	0.75	1	2.486720414148968e-35
PRPS2	3.5480650169147803e-28	-3.459233215129675	1	1	1.1771415306618167e-23
NR2F1	5.618853647240134e-63	-3.4583059060009407	1	1	1.864167074544859e-58
RUNX1	2.212385843998123e-22	3.448561464181991	1	1	7.340032514632571e-18
MEIS1	3.70773666770221e-35	-3.4346419627830915	1	1	1.230115794243562e-30
RGS6	5.349534830484497e-17	3.4235658785217056	1	1	1.7748151707098416e-12
DCDC1	1.7196537302350272e-10	3.4039864061511524	1	1	5.7052951808007495e-6
AC020637.1	6.699228198866724e-12	-3.3421416553564907	1	1	2.222602939538013e-7
VCAM1	5.502589901109614e-35	3.294883858598433	1	1	1.8255942514911365e-30
KCNIP1	2.7820701649827876e-29	-3.287925365437062	1	1	9.230074186363395e-25
MUM1L1	1.086519529271127e-34	-3.269499063664545	0.5	1	3.604745842262818e-30
OLFML2B	1.0653913207900532e-18	3.2446222788654584	1	1	3.5346487849851595e-14
PPARG	1.855702539274142e-20	3.242953155043267	1	1	6.156664314549821e-16
VEGFC	3.594936538855077e-65	3.242697960230452	1	1	1.1926920954959489e-60
MRPS6	4.899230843848369e-20	3.2240462820151277	1	1	1.6254178170635734e-15
EDIL3	4.567076320148034e-48	3.221448889204138	1	1	1.5152189107355132e-43
PCDH9	2.5121423788730895e-52	-3.2157191131016676	1	1	8.334534770387249e-48
NFASC	6.610410418461932e-22	-3.207293887414533	1	1	2.1931358645331154e-17
RSPO1	1.4210855995329769e-11	3.1866504872063004	1	1	4.7147356935705573e-7
TMEM108	6.280450338982543e-14	3.174151244868934	1	1	2.0836650089642384e-9
WFDC1	1.5657739622649154e-30	-3.1616498526579306	0.75	1	5.19476827460631e-26
AC099066.2	2.0595867672670592e-66	3.133243943329812	1	1	6.833091017761923e-62
COL4A3	1.892658786605381e-39	-3.113686015100614	1	1	6.279274056320673e-35
PRKCH	1.1363821763780964e-27	3.1103059931659423	1	1	3.77017514656961e-23
FOXP2	8.883332132524566e-26	-3.1050193093436222	1	1	2.947223101607675e-21
PLCXD3	1.2233614067936848e-16	-3.098914874948352	1	1	4.058746139319408e-12
LPL	1.0299958009200015e-9	3.0895060542315242	1	1	3.417217068712289e-5
CFD	4.304930052246614e-14	3.05001259516398	1	1	1.4282466434338592e-9
RIMS2	2.1484366452406356e-7	-3.0109042558818766	1	1	0.007127868257914857
SLC5A3	7.870807787154821e-21	3.0106459658058755	1	1	2.611297899544355e-16
NR1H4	1.7373436261857712e-20	-3.008707599472867	1	1	5.763984948596533e-16
NECAB1	2.0276705656570675e-31	2.9905443864666457	1	1	6.727202635680453e-27
TSHZ2	2.1019233060241472e-10	-2.9848346101652807	1	1	6.973550952396313e-6
STAR	4.2258803577525215e-27	-2.9802153411571073	0.5	1	1.402020326291554e-22
IGFBP6	7.784481673627717e-9	-2.9781209278876464	1	1	2.5826574848594676e-4
ANKS1A	2.4569897975232445e-24	-2.977305939729836	1	1	8.151555051242868e-20
ADAMTSL3	6.462421773264556e-23	-2.9689262693726275	1	1	2.1440376717159817e-18
LAMC3	7.464407539857799e-24	-2.961780857612317	1	1	2.476466489498622e-19
RALYL	2.3669162430128996e-7	-2.961765658095862	1	1	0.007852718019443898
MYO6	4.870912829887252e-57	2.9592990023950545	1	1	1.6160227495716936e-52
TRERF1	1.1647770578090076e-36	-2.93166364873734	1	1	3.8643808446929445e-32
PLA2G4A	8.277344587535804e-21	-2.923828325453662	1	1	2.746174613806754e-16
IGHA1	1.7522089501620457e-8	2.906415114368108	1	0.75	5.813303633952619e-4
AL109930.1	1.4814088824127107e-15	-2.904859040791834	1	1	4.91487024918065e-11
ABCC3	1.563090120094692e-7	-2.9001474746043456	1	1	0.00518586409143816
NR2F1-AS1	7.754385726895371e-67	-2.8977352849418567	1	1	2.5726725526120773e-62
ADAMTS17	2.177956944725669e-15	2.8718595427561535	1	1	7.225807755516352e-11
NEURL1B	5.269166262694373e-18	-2.863906224727185	1	1	1.7481512909741121e-13
RNF144A	3.554463416024978e-29	-2.849394794899212	1	1	1.179264327534607e-24
TNXB	2.165110951274965e-20	-2.8395805103733394	1	1	7.183188603044951e-16
DYNC1I1	2.0471839646178357e-76	2.828309866220912	1	1	6.791942239412594e-72
HSD3B2	1.8466820194735e-35	-2.8222288960611848	0.75	1	6.126736936007231e-31
C1orf21	6.577074807916299e-30	-2.820041888071665	1	1	2.1820761090223904e-25
NCKAP5	5.104997048124284e-32	2.810955319783019	1	1	1.6936848706561937e-27
PRKG1	1.942797483907546e-18	-2.8009123356892656	1	1	6.445619212360065e-14
FAM153B	2.7713976227012833e-10	-2.7965299449995227	0.75	1	9.194665892836048e-6
