cluster	origin	percentage	N_count	T_count
Adipo	N1	0.40080160320641284	31	2403
Adipo	N2	0.8700696055684455	31	2403
Adipo	N4	0	31	2403
Adipo	N7	0	31	2403
Adipo	T1	46.94072657743786	31	2403
Adipo	T2	61.66365280289331	31	2403
Adipo	T4	37.507827175954915	31	2403
Adipo	T7	53.7037037037037	31	2403
CAR-like cells	N1	2.3296593186372747	207	2375
CAR-like cells	N2	3.422273781902552	207	2375
CAR-like cells	N4	2.299605781865966	207	2375
CAR-like cells	N7	4.587155963302752	207	2375
CAR-like cells	T1	50.860420650095605	207	2375
CAR-like cells	T2	37.37191078963231	207	2375
CAR-like cells	T4	61.30244207889793	207	2375
CAR-like cells	T7	45.18518518518518	207	2375
MSC	N1	90.00501002004007	6879	21
MSC	N2	89.4431554524362	6879	21
MSC	N4	89.09329829172142	6879	21
MSC	N7	88.9908256880734	6879	21
MSC	T1	0.4780114722753346	6879	21
MSC	T2	0.4219409282700422	6879	21
MSC	T4	0.37570444583594237	6879	21
MSC	T7	0.5555555555555556	6879	21
PSC	N1	7.264529058116232	557	43
PSC	N2	6.2645011600928076	557	43
PSC	N4	8.607095926412615	557	43
PSC	N7	6.422018348623853	557	43
PSC	T1	1.7208413001912046	557	43
PSC	T2	0.5424954792043399	557	43
PSC	T4	0.8140262993112085	557	43
PSC	T7	0.5555555555555556	557	43
