"","Adipo","CAR.like.cells","MSC","PSC"
"STRIP1",0.199494167102272,0.32838385248749,0.217708486702456,0.260097475273459
"NES",0.00540961606040359,0.0845698343449079,0.283570026577961,1.41931416221687
"PTPRC",0.842264919666081,0.968563565903117,0.0933711532869267,0.227824420782645
"CD34",0.0173166903125944,0.0382914206272749,0.590195151384479,0.193915682163072
"COL3A1",0.635644770737943,9.13172728016206,2.02397431624659,2.47022644210047
"EFNA5",5.12791633703772,0.770738522540433,1.7283182505169,0.575650014751338
"CD14",0.046779875386671,0.0763786571939451,0.193101011952659,0.146615022350313
"HLA-DRA",0.458389748038346,0.602957074982264,0.463674530861494,0.554868218658741
"NT5E",0.0195355734562063,0.0644945406696283,0.156290291015966,0.0276500585642326
"COL1A2",0.55265162216613,12.9625068131055,2.58559693887947,1.88633569907406
"MTAP",1.04964999157529,0.8910890190078,0.940602082654421,0.870461064203673
"TNC",0.186134539925652,4.70538055946111,0.267954584635949,0.691581650549559
"ENG",0.343676018494626,1.01992756529431,1.97664471694312,1.34072326720362
"ACTA2",0.111055424947921,1.13719592437989,2.1153020937556,5.25889032437563
"MCAM",2.10213455638203,0.827519529111611,0.109738885334606,2.38847072667193
"THY1",0.0412555767317479,1.58741700665051,0.126301702656904,0.501683744303714
"MFAP5",0.0269334665152739,0.0603604161710655,0.949371720444083,0.0709922527511711
"POSTN",0.0347614233694081,1.09651208343136,0.591588574031487,0.254068989408262
"KLF5",0.0143270690646343,0.0418010376471253,0.973208908756956,0.162052900233693
"CD19",0.0306870538319616,0.02896642999808,0.00615064898754596,0.00644496004124775
"ITGAM",0.114447923615788,0.126386798644419,0.0667956307062295,0.0412253762081485
"COL1A1",0.405560243201952,9.12626209052345,1.342476032947,1.13520336665779
"CD79A",0.0978526484654384,0.0945427332998193,0.000561512911928195,0.0172208902816311
