gene	Adipo	Bcell	CLC	Endo	LEC	Myeloid	Neural-like	normal_Stromal_SC_1	normal_Stromal_SC_10	normal_Stromal_SC_11	normal_Stromal_SC_2	normal_Stromal_SC_3	normal_Stromal_SC_4	normal_Stromal_SC_5	normal_Stromal_SC_6	normal_Stromal_SC_7	normal_Stromal_SC_8	normal_Stromal_SC_9	Plasma	Tcell	tumor_Stromal_SC_1	tumor_Stromal_SC_2	tumor_Stromal_SC_3	tumor_Stromal_SC_4	tumor_Stromal_SC_5	tumor_Stromal_SC_6	ZF	ZG	ZR
ADIPOQ	5.167766373004418	-0.12041157841512665	-0.08646159691803892	-0.23744553741149843	-0.26082560731784615	-0.16676913159931261	0.14396320654610242	-0.2638111648148103	-0.28169542836234396	-0.28169542836234396	-0.27852644371335156	-0.26681736018128616	-0.28169542836234396	-0.2439114119625513	-0.28169542836234396	-0.2578757497199966	-0.2402781654333446	-0.26301468101242115	-0.10135526689356336	-0.12073437913033074	-0.20327605236026702	0.020247345388598254	-0.1063536592085975	-0.06801617414110507	-0.09112593462934283	-0.01677061925064383	-0.27090000384706747	-0.26685140117789913	-0.27366329235134035
FABP4	4.372908561145404	-0.15189314087007472	-0.5164709740906349	-0.0032123663693275047	0.27933389106776935	-0.2898262917472884	-0.03289097665691718	-0.5203876395053261	-0.5189319517770887	-0.48292927932758783	-0.5281422453438173	-0.5766222348658406	-0.5332892103021266	-0.5213021212718392	-0.3085322465862778	-0.53783565318938	-0.5637499218173665	-0.3740216185411474	-0.30040219098974885	-0.25249179604040084	0.3880697935392206	0.2161515431311316	0.3001330695810666	1.8000414367932236	0.8712451988538232	0.4862137794607519	-0.5691614175446803	-0.5650069316410394	-0.5669970650944816
AIFM2	3.9773092137201576	-0.013717048857978434	0.5589018475813752	-1.0368666048343627	-1.3111924236271704	-0.6697757026618638	-0.3551458367854109	0.1282022153115736	-1.1702315343968357	-0.9231304976361652	-0.0459782217917718	-0.6507809626073726	-0.6193787470557114	-0.078451317817639	1.0118290439100808	-0.4655009306221723	-0.7825141672514805	0.49742551420348197	0.018934165963750096	-0.14469637294502172	-0.1268017100849204	-0.32116879954081595	0.14339883618457486	-0.5587797760466424	1.3609786193385713	0.6509225645894605	0.23671641168136023	-0.04427519331184733	0.7337674153907925
CYB5A	2.534747593886311	-1.0354874508690495	0.054386490554559755	-0.5207851884171469	-0.6103205722592142	-0.7920418693774527	-1.0370352642868965	0.8283154642684214	0.45811977186433717	-0.4523167496718161	0.58377825547872	-0.18206277973337495	0.4492618172427467	0.8719325519856947	1.8088449351643556	-0.1532516564905321	0.21680922974859387	-1.0788394645487993	-1.4357933107798402	-1.1651843533387114	0.23568899362374895	-0.350004805264123	-0.37412533593811026	0.431302222365913	0.8343963697517459	-0.18581382099211693	-1.0094033526078832	-1.0373495383557858	2.1122318169957053
CD79B	-0.15768850088672579	5.1360014736879265	-0.20105287708436287	0.053059155709563356	-0.3350879208670555	-0.19512354586282557	0.15734575728668299	-0.2700573631691724	-0.28784560495663253	-0.20158303535108252	-0.26754833118860866	-0.2906580951141588	-0.30158046127179694	-0.29681035410589574	-0.2598276248334608	-0.27886555775666144	-0.28168393817007936	-0.3045671336323028	0.14348533424026855	0.008090805565796121	0.019764268359128676	-0.19424252079024118	-0.22123402587341204	0.17080982731313094	-0.26149161397505083	-0.11643958860508052	-0.32119792955264864	-0.32020962530145813	-0.3237609738137849
MS4A1	-0.04041864000309869	5.083347213855815	-0.30160406036474324	-0.26007065645615784	-0.3257276493675206	-0.1479918927504769	0.46686938139666606	-0.3224023092416929	-0.3257276493675206	-0.3021613525283889	-0.3257276493675206	-0.3257276493675206	-0.32118340068957274	-0.3257276493675206	-0.3257276493675206	-0.3257276493675206	-0.3257276493675206	-0.3257276493675206	0.0673572828880801	0.06591101730183711	0.009903876962650637	-0.20039228525839003	-0.26457989574501634	0.23344219042858882	0.13261354898180386	0.00493001614989091	-0.3243883707168949	-0.3241574396733652	-0.3234753802298486
CD79A	-0.030390291421896937	4.988430354204692	-0.34993246754964613	-0.2940010009331644	-0.3640655158806739	-0.18792731533611642	0.47536727886266716	-0.3640655158806739	-0.3640655158806739	-0.3640655158806739	-0.3583448702958827	-0.3640655158806739	-0.3640655158806739	-0.3640655158806739	-0.3640655158806739	-0.3640655158806739	-0.3640655158806739	-0.3640655158806739	0.7673369869890351	0.08166824891902441	-0.06217187761476396	-0.07529076449132527	-0.11503533273404253	0.21009159639548422	-0.008962134837724813	0.04986424875268811	-0.3618632036624224	-0.3622746745810391	-0.3618441059781558
CD19	-0.13988645467965125	4.978997406423696	-0.3614162424018386	-0.2901043635943686	-0.30033183474416	-0.09869498846528293	0.3592073129186068	-0.34723795448644784	-0.3614162424018386	-0.3614162424018386	-0.3348221367913763	-0.3187765652328791	-0.29478251443682246	-0.1591983867560983	-0.3248191855831693	-0.3614162424018386	-0.3614162424018386	-0.29418750688268347	0.9268084481729644	-0.0017744061658711745	-0.22000461705076804	-0.2927445641951152	-0.3614162424018386	-0.004993029918930592	0.08726339159606997	0.29095856219383487	-0.34723975988267164	-0.3517215120709393	-0.35341788595690354
CHGA	-0.24866928069248329	-0.11170387904517469	5.1743585052937755	-0.161621323722068	-0.3333166743086135	-0.1110749776329792	-0.16816963781344701	-0.11836027083283554	-0.3333166743086135	-0.3333166743086135	-0.07430872511148374	-0.18908568387467653	-0.3333166743086135	-0.20746837571626836	-0.002834978690622009	-0.2588107008608164	-0.18723018353709833	-0.0020430392034908253	-0.11386477178323122	-0.22268231753656337	-0.18306443613392756	-0.3333166743086135	-0.2102255222833828	-0.13288842523784555	-0.3333166743086135	-0.09258558036710458	-0.16436110984954255	-0.1359009018437432	-0.07750433767330941
TH	-0.26156038298765566	-0.18597213597455015	5.155988133940821	-0.11208224833352663	-0.26156038298765566	-0.21342489521036787	-0.14796976070405993	-0.033839400126219235	-0.26156038298765566	-0.26156038298765566	-0.04239061459192264	-0.17055058795843792	-0.11445223599125373	-0.12138736375526482	-0.19057569454066609	-0.26156038298765566	-0.26156038298765566	0.3855966072338671	-0.26156038298765566	-0.25128476158668295	-0.26156038298765566	-0.26156038298765566	-0.26156038298765566	-0.26156038298765566	-0.26156038298765566	-0.26156038298765566	-0.18698212845132078	-0.19627645541615674	-0.17411147969473448
