gene	Adipo	Bcell	CLC	Endo	Fib	LEC	Myeloid	Neural-like	Plasma	PSC	Tcell	tumor_Stromal_SC_1	tumor_Stromal_SC_2	tumor_Stromal_SC_3	tumor_Stromal_SC_4	tumor_Stromal_SC_5	tumor_Stromal_SC_6	ZF	ZG	ZR
ADIPOQ	4.229193611594793	-0.20196549271776978	-0.17351755261740304	-0.3000325581010944	-0.31740779638930416	-0.31962357991933077	-0.24081019418826735	0.019563878285555794	-0.18599750732296583	-0.3277509047784091	-0.20223597932793977	-0.2714006878869326	-0.08410219905754593	-0.19018584436781583	-0.15806145340482564	-0.1774259730043313	-0.11512091524697855	-0.3280652878782943	-0.3246728145647944	-0.3303807491063463
FABP4	3.634891696643107	-0.32648626670039255	-0.6456672362885506	-0.19631907209874735	-0.6850264272996279	0.05104481068487563	-0.4472441209188754	-0.2223021318035625	-0.4565031198674841	-0.6170080423178927	-0.4145584789160602	0.14624102838493727	-0.004270135089877816	0.06925409649325108	1.382395388466811	0.5692519201529147	0.2321642242878809	-0.6917967189318849	-0.688159545417657	-0.6899018694631653
AIFM2	3.5088559132436594	-0.12583122068292743	0.3956613475435919	-1.057628779135415	-0.6684649343836809	-1.3074613932224977	-0.723313620245437	-0.4367755094409601	-0.09609527243012228	-0.11329377526642628	-0.24511604437187112	-0.22881910804914482	-0.40583211493618493	0.017256558832398895	-0.6222279746385869	1.1261246246366419	0.47946598679142477	0.10224226644542873	-0.15366097853859195	0.5549140278487025
CYB5A	2.5364717916660866	-0.849428049579995	0.18417448890421836	-0.36130043700587344	0.02485492678423919	-0.4462130094658011	-0.6185518340391386	-0.8508959476707566	-1.2290656730224305	0.7660130923016332	-0.9724285568231328	0.35611614223072885	-0.19933763484941455	-0.22221279571586694	0.541629642558019	0.9239115910941098	-0.04362401358593924	-0.8246907023033027	-0.8511939954201683	2.1357709739427833
CD79B	-0.2362322472289582	4.204314911113222	-0.2726079243884751	-0.05944915034933411	-0.34326000505061854	-0.38504158326275184	-0.267634177336206	0.028030391238979435	0.0164037447092832	-0.3364396111420817	-0.09717030145665531	-0.08737815981558554	-0.2668951402181875	-0.28953663448251366	0.039324561880407574	-0.32330622040557405	-0.2016311011292221	-0.3733901337527071	-0.372561106806422	-0.3755401121166002
MS4A1	-0.15668018783868276	4.170244567052387	-0.3772464067513374	-0.34217222134694397	-0.3976183279924928	-0.3976183279924928	-0.24752379458277837	0.27171509021665863	-0.06566542993598615	-0.395761667060587	-0.06688677426469873	-0.11418376028949322	-0.2917749492950369	-0.34598018987267093	0.07459017860428066	-0.010557729618252803	-0.11838409303145565	-0.3964873321366371	-0.3962923151750074	-0.39571632868877166
CD79A	-0.16496569338502218	4.102861256582047	-0.4366930188309926	-0.38913088472982427	-0.4487112615241058	-0.4487112615241058	-0.29892958724614105	0.26511259412884536	0.5133932713834839	-0.4476848044415543	-0.06967508784053016	-0.19199162629713265	-0.20314746208380233	-0.23694483231038807	0.03953156887525147	-0.14674394955009648	-0.09672008080016621	-0.4468384933777713	-0.44718839364311164	-0.4468222533848825
CD19	-0.2394096085393522	4.0838291995964635	-0.42650628848477634	-0.36627865091632394	-0.40946405190513707	-0.3749164323904942	-0.2046206681894557	0.18210836364500327	0.6614853766926612	-0.38018828600422616	-0.12276477263225063	-0.3070747398839576	-0.3685084764033103	-0.42650628848477634	-0.12548311504742998	-0.047566414333806574	0.12446774202782836	-0.41453330354260354	-0.41831844216158953	-0.4197511430424663
TH	-0.26113664329134295	-0.1982823483042202	4.24374614002063	-0.13684029907202916	-0.22532307827989573	-0.26113664329134295	-0.22111028644808764	-0.1666820321195018	-0.26113664329134295	-0.09829346442180463	-0.2525921014579975	-0.26113664329134295	-0.26113664329134295	-0.26113664329134295	-0.26113664329134295	-0.26113664329134295	-0.26113664329134295	-0.19912219269244513	-0.2068507535711394	-0.18841979403142234
CHGA	-0.2773372428982502	-0.16325968648985842	4.239465911179749	-0.20483558845051952	-0.24493724482890625	-0.34783948436893175	-0.16273587875840087	-0.21028963495536424	-0.16505947943211474	-0.19024049958150793	-0.255692877097491	-0.22269541170744978	-0.34783948436893175	-0.24531769660613065	-0.18090415169212637	-0.34783948436893175	-0.14733618486354183	-0.20711753778038555	-0.18341322307661498	-0.1347751198542905
