gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
IGHM	6.71e-12	10.229	0.234	0	2.23e-7	0.234
GML	7.93e-46	-9.773	0	0.715	2.63e-41	-0.715
SLC26A3	6.39e-15	9.389	0.292	0	2.12e-10	0.292
NOV	4.02e-24	-8.737	0	0.431	1.33e-19	-0.431
MT2A	1.29e-24	-8.718	0	0.438	4.28e-20	-0.438
DHCR24	4.02e-24	-8.7	0	0.431	1.33e-19	-0.431
HSD3B2	2.61e-20	-8.432	0	0.369	8.67e-16	-0.369
CLU	2.61e-20	-8.326	0	0.369	8.67e-16	-0.369
RARRES2	3.46e-22	-8.317	0	0.4	1.15e-17	-0.4
STAR	3.46e-22	-8.23	0	0.4	1.15e-17	-0.4
RGN	2.16e-19	-8.213	0	0.354	7.18e-15	-0.354
FADS2	1.74e-18	-8.061	0	0.338	5.77e-14	-0.338
NXPH1	2.05e-15	-7.873	0	0.285	6.8e-11	-0.285
AL117190.1	2.05e-15	-7.869	0	0.285	6.8e-11	-0.285
KCNK3	7.62e-16	-7.841	0	0.292	2.53e-11	-0.292
IGHG1	1.62e-12	7.781	0.305	0.015	5.39e-8	0.29
WHRN	5.48e-15	-7.728	0	0.277	1.82e-10	-0.277
IGHG4	3.78e-12	7.722	0.286	0.008	1.25e-7	0.278
DLK1	5.48e-15	-7.638	0	0.277	1.82e-10	-0.277
GSTA1	1.01e-13	-7.583	0	0.254	3.35e-9	-0.254
TBX3	6.84e-13	-7.557	0	0.238	2.27e-8	-0.238
CTNNAL1	3.85e-14	-7.52	0	0.262	1.28e-9	-0.262
SCARB1	3.18e-52	-7.343	0.013	0.823	1.0499999999999999e-47	-0.81
FBN2	1.76e-12	-7.289	0	0.231	5.85e-8	-0.231
NR5A1	4.52e-12	-7.281	0	0.223	1.5e-7	-0.223
LONRF2	4.52e-12	-7.26	0	0.223	1.5e-7	-0.223
CDH2	4.52e-12	-7.093	0	0.223	1.5e-7	-0.223
MAPK4	4.52e-12	-7.089	0	0.223	1.5e-7	-0.223
IGLC2	9.31e-10	6.994	0.273	0.023	3.09e-5	0.25
SLIT2	7.9e-27	-6.971	0.006	0.515	2.62e-22	-0.509
IGKC	1.1300000000000001e-29	6.7	0.643	0.038	3.74e-25	0.605
ALAS1	4.67e-18	-6.288	0.006	0.377	1.55e-13	-0.371
IGHA1	4.59e-9	6.208	0.247	0.015	1.52e-4	0.232
MEG8	1.02e-13	-6.09	0.006	0.3	3.38e-9	-0.294
SEMA3B	1.74e-12	-5.941	0.006	0.277	5.78e-8	-0.271
RALYL	5.72e-32	-5.929	0.013	0.608	1.9e-27	-0.595
MEG3	6.04e-38	-5.888	0.006	0.662	2e-33	-0.656
MGST1	5.83e-15	-5.781	0.006	0.323	1.93e-10	-0.317
ZBTB7C	5.24e-13	-5.649	0.013	0.308	1.74e-8	-0.295
RASGEF1B	4.04e-16	5.601	0.416	0.031	1.34e-11	0.385
AOX1	3.86e-17	-5.447	0.006	0.362	1.28e-12	-0.356
APOC1	4.7e-12	-5.369	0.006	0.269	1.56e-7	-0.263
MEIS1	3.8e-17	-5.336	0.006	0.362	1.26e-12	-0.356
PGM5	9.58e-12	-5.256	0.013	0.285	3.18e-7	-0.272
PDE10A	2.61e-15	-5.163	0.019	0.369	8.67e-11	-0.35
DPP10	1.47e-14	-4.988	0.013	0.338	4.89e-10	-0.325
PDZRN3	1.25e-15	-4.955	0.019	0.377	4.15e-11	-0.358
AL117190.2	4.48e-10	-4.936	0.006	0.231	1.48e-5	-0.225
FBXL7	8.17e-32	-4.839	0.032	0.654	2.71e-27	-0.622
MEIS2	1.93e-19	-4.812	0.013	0.423	6.4e-15	-0.41
FGF12	2.8e-16	-4.779	0.013	0.369	9.3e-12	-0.356
RIMS2	1.37e-24	-4.613	0.019	0.523	4.56e-20	-0.504
ABCC3	4.13e-30	-4.369	0.019	0.6	1.37e-25	-0.581
FAM198B	1.7e-10	-4.363	0.006	0.238	5.64e-6	-0.232
PPFIBP1	5.99e-9	-4.256	0.006	0.208	1.99e-4	-0.202
CADPS2	6.85e-8	-4.13	0.013	0.208	0.002	-0.195
GSTA4	4.33e-12	-4.093	0.013	0.292	1.44e-7	-0.279
EPHX1	1.62e-10	-4.08	0.013	0.262	5.37e-6	-0.249
DCN	1.57e-10	-4.064	0.006	0.238	5.21e-6	-0.232
PPP1R9A	1.02e-11	-3.99	0.013	0.285	3.38e-7	-0.272
NCAM1	1.54e-10	-3.971	0.006	0.238	5.09e-6	-0.232
AC098864.1	4.31e-13	-3.97	0.019	0.331	1.43e-8	-0.312
PDGFD	3.77e-14	-3.902	0.032	0.385	1.25e-9	-0.353
LINC00290	5.4e-9	-3.877	0.013	0.231	1.79e-4	-0.218
FHOD3	1e-11	-3.796	0.013	0.285	3.32e-7	-0.272
SLC16A9	2.49e-11	-3.76	0.013	0.277	8.27e-7	-0.264
LAMA2	7.87e-9	-3.697	0.019	0.246	2.61e-4	-0.227
FDX1	7.07e-21	-3.641	0.032	0.5	2.34e-16	-0.468
ZNF521	6.04e-10	-3.622	0.019	0.269	2e-5	-0.25
SPON2	9.03e-14	-3.578	0.156	0.546	2.99e-9	-0.39
UNC5C	1.24e-10	-3.569	0.039	0.331	4.11e-6	-0.292
SEMA6A	6.03e-10	-3.568	0.019	0.269	2e-5	-0.25
AKR1B1	1.19e-14	-3.568	0.026	0.377	3.95e-10	-0.351
PBX1	9.87e-19	-3.517	0.065	0.531	3.27e-14	-0.466
RAP1GAP	8.46e-10	-3.513	0.006	0.223	2.81e-5	-0.217
SORBS2	5.06e-28	-3.498	0.065	0.669	1.68e-23	-0.604
ADGRL3	3.14e-10	-3.497	0.026	0.292	1.04e-5	-0.266
ARHGEF28	6.53e-12	-3.497	0.019	0.308	2.17e-7	-0.289
PEBP1	5.5e-19	-3.496	0.039	0.485	1.82e-14	-0.446
KIAA1217	4.32e-15	-3.485	0.026	0.385	1.43e-10	-0.359
PCDH15	5.21e-16	-3.468	0.052	0.462	1.73e-11	-0.41
AL158071.3	3.37e-9	-3.45	0.019	0.254	1.12e-4	-0.235
ATRNL1	9.88e-14	-3.439	0.032	0.377	3.28e-9	-0.345
REPS2	1.07e-7	-3.41	0.026	0.238	0.004	-0.212
TMEM108	4.13e-8	-3.395	0.019	0.231	0.001	-0.212
PRKG1	4.28e-21	-3.394	0.078	0.592	1.42e-16	-0.514
CACNA1D	1.9e-11	-3.369	0.045	0.362	6.31e-7	-0.317
FP236383.1	7.17e-8	3.368	0.481	0.292	0.002	0.189
CALN1	9.14e-18	-3.368	0.052	0.492	3.03e-13	-0.44
ITGA9	3.81e-14	-3.363	0.039	0.4	1.26e-9	-0.361
PSD3	8.91e-26	-3.337	0.045	0.6	2.9600000000000004e-21	-0.555
OTUD7B	5.38e-11	-3.286	0.013	0.269	1.78e-6	-0.256
LSAMP	6.78e-16	-3.285	0.065	0.485	2.25e-11	-0.42
PRLR	2.77e-8	-3.27	0.013	0.215	9.18e-4	-0.202
LINC01807	7.36e-10	-3.267	0.013	0.246	2.44e-5	-0.233
LRMDA	2.75e-27	-3.244	0.175	0.785	9.119999999999999e-23	-0.61
ARMC9	3.97e-9	-3.24	0.026	0.269	1.32e-4	-0.243
MAPK10	2.35e-11	-3.21	0.032	0.331	7.8e-7	-0.299
APOE	1.72e-16	-3.181	0.071	0.508	5.71e-12	-0.437
MGP	5.82e-8	-3.164	0.013	0.208	0.002	-0.195
GIPC2	2.49e-8	-3.114	0.013	0.215	8.25e-4	-0.202
MAGI2	4.58e-19	-3.112	0.045	0.5	1.52e-14	-0.455
GRAMD1B	4.57e-31	-3.033	0.084	0.738	1.51e-26	-0.654
